Roll Number,schoolName,Principal Name,Ethos Description,Female,Male,Total,latitude,longitude,Type
19489Q,SN NAOMH FINNIN,Janet O' Donnell (Acting),Catholic,109,140.0,249,1.0,1.0,Primary School
19490B,SCOIL MHUIRE,Owen McLoughlin,Catholic,118,110.0,228,53.2825975,-6.2991036,Primary School
19494J,BISHOP GALVIN NS,Kathryn Corbett,Catholic,243,243.0,486,53.30013185,-6.31838545076455,Primary School
19496N,SCOIL FHIACHRA SOISIR,Áine Carberry,Catholic,330,322.0,652,53.3880385,-6.1929704,Primary School
19497P,SCOIL MHUIRE,Patricia Slavin,Catholic,149,175.0,324,53.2395669,-6.120174977424692,Primary School
19502F,SCOIL AENGHUSA JUN NS,Ann Marie Blake,Catholic,107,107.0,214,53.2910863,-6.3395859160074615,Primary School
19503H,SCOIL CHRONAIN,Siobhán Mhic Gearailt,Catholic,202,207.0,409,1.0,1.0,Primary School
19505L,SN OILIBHEIR,Antóin Ó Cléirigh,Catholic,133,133.0,266,1.0,1.0,Primary School
19509T,SCOIL NANO NAGLE,Damien Burke,Catholic,146,159.0,305,53.3243776,-6.4120122,Primary School
19510E,TALBOT SENIOR NS,Loyola Madden,Catholic,149,146.0,295,53.32225975,-6.410748810674924,Primary School
19515O,SN NAOMH TREASA,Killian O'Mahony,Catholic,220,221.0,441,53.5940176,-6.169579331253993,Primary School
19524P,OUR LADY IMMAC SEN N S,DERMOT AMPHLETT,Catholic,104,89.0,193,1.0,1.0,Primary School
19533Q,S N MUIRE AGUS IOSEF,Janet Lynch,Catholic,194,237.0,431,53.389125,-6.1466584,Primary School
19535U,BRACKENSTOWN SENIOR N S,Loreto Desmond,Catholic,277,349.0,626,53.4566361,-6.2264386,Primary School
19537B,ST ATTRACTAS JUNIOR N S,Thomas Neary,Catholic,147,196.0,343,53.28778405,-6.245032859978142,Primary School
19538D,ST KEVINS JUNIOR N S,Orlagh Leonard,Catholic,87,110.0,197,53.3949756,-6.1591793,Primary School
19541P,BELGARD HEIGHTS N S,Eddie Kelly,Catholic,200,204.0,404,53.2870594,-6.3906835,Primary School
19542R,ST THOMAS JUNIOR NATIONAL SCHOOL,Michael Maher,Catholic,288,281.0,569,53.348428150000004,-6.450790331729629,Primary School
19543T,SCOIL N AN CROI RO NAOFA,Gerry Diver,Catholic,142,126.0,268,53.27443675,-6.392022302490281,Primary School
19545A,CORDUFF N S,Áine Kirwan,Catholic,101,103.0,204,53.3992891,-6.3792239,Primary School
19546C,ST OLIVER PLUNKETT N S,Aoife Kavanagh,Catholic,72,70.0,142,53.3409682,-6.4666359,Primary School
19549I,ST FINTANS NS,Ciarán Caulfield,Catholic,235,235.0,470,53.384494,-6.100441,Primary School
19556F,ST KILIANS JUNIOR SCHOOL,Catherine Sweeney,Catholic,144,130.0,274,53.3033746,-6.372549677224829,Primary School
19565G,SCOIL TREASA FIRHOUSE,Gerard O'Meara,Catholic,227,204.0,431,53.27482515,-6.327106328971356,Primary School
19566I,OUR LADY QUEEN OF APOSTLES,John Murphy,Catholic,262,283.0,545,53.321978,-6.4191363,Primary School
19569O,NEILLSTOWN N S,Laura Hannon,Catholic,143,154.0,297,53.3352522,-6.399337597769497,Primary School
19574H,MARLEY GRANGE NS,John Williams,Catholic,239,257.0,496,53.2803144,-6.267737,Primary School
19575J,ST MARYS JUNIOR N S,Patrick McCabe,Catholic,112,108.0,220,53.3417168,-6.403467215201346,Primary School
19576L,S N AENGHUSA,Michele Hamilton,Catholic,137,96.0,233,1.0,1.0,Primary School
19577N,SCOIL IOSA,Oonagh Branniff,Catholic,61,58.0,119,53.29438285,-6.347292487585155,Primary School
19578P,ST HELENS JUNIOR N S,Lorna M Lavin,Catholic,166,191.0,357,53.4344695,-6.1341004,Primary School
19582G,ST MAELRUAINS N S,Tadhg O'Lionaird,Church Of Ireland,35,43.0,78,53.2817715,-6.3918312,Primary School
19583I,ST JOSEPHS SENIOR N S,Philip Fitzgerald,Catholic,69,69.0,138,53.3984395,-6.2654801,Primary School
19589U,GAELSCOIL INSE CHOR,Colm Ó Nualláin,Catholic,132,109.0,241,1.0,1.0,Primary School
19601H,ST PHILIP THE APOSTLE JUNIOR N S,Jane O'Connell,Catholic,124,136.0,260,53.3904426,-6.405428946836164,Primary School
19605P,SCOIL NAIS MHUIRE SOIS,Charlotte Hughes,Catholic,124,133.0,257,53.40325685,-6.400856775094874,Primary School
19611K,SCOIL NAOMH COLMCILLE,Annette O'Brien,Catholic,99,118.0,217,53.3960827,-6.1599306,Primary School
19612M,DALKEY SCHOOL PROJECT,Miriam Hurley,Multi Denominational,132,104.0,236,53.2744958,-6.1328001,Primary School
19613O,SCOIL CNOC MHUIRE SIN,Orla Hanahoe,Catholic,70,101.0,171,53.2762331,-6.39143,Primary School
19617W,ST MARTIN DE PORRES N S,Valerie O'Loughlin,Catholic,191,220.0,411,53.2755556,-6.3719608,Primary School
19618B,ST PAULS SEN NS,Séan Ó Seaghdha,Catholic,97,136.0,233,1.0,1.0,Primary School
19619D,ST MALACHYS NS,Eoin Dolan,Catholic,77,71.0,148,53.382796299999995,-6.300712645072332,Primary School
19624T,SCOIL NAIS CAITRIONA,Gerard O'Shea,Catholic,152,182.0,334,53.522165900000005,-6.0904952801636245,Primary School
19625V,Scoil Réalt na Mara,Máire Ní Odhráin,Catholic,209,199.0,408,53.6027252,-6.166131779241555,Primary School
19627C,JOHN PAUL II N S,Steve Prendergast,Catholic,363,373.0,736,53.4539633,-6.1712194,Primary School
19628E,ST FIACHRAS SEN N S,Kieran Creaner,Catholic,363,361.0,724,53.3873395,-6.2260092,Primary School
19636D,ST PATRICKS SENIOR SCHOOL,MARY O'RIORDAN,Catholic,110,116.0,226,53.3998442,-6.375671140994859,Primary School
19641T,SCOIL CHOLMCILLE JUNIOR NS,Irene Connor,Catholic,75,91.0,166,53.2555652,-6.157649022990354,Primary School
19642V,ST PETER APOSTLE SEN NS,Sophia O'Hara,Catholic,142,148.0,290,53.33821855,-6.4008912199786145,Primary School
19643A,ST PHILIPS SENIOR N S,Paula Dargan,Catholic,149,156.0,305,53.3907612,-6.4048016,Primary School
19644C,ST CIARANS N S,Tadhg MacAmhlaoibh,Catholic,311,348.0,659,53.3928586,-6.4194428,Primary School
19646G,SCOIL SANTAIN,Eamon Ó Déagha,Catholic,189,141.0,330,1.0,1.0,Primary School
19647I,ST MARYS SEN N S,Maura Forde,Catholic,104,116.0,220,53.3417168,-6.403467215201346,Primary School
19652B,AN CHROI RO NAOFA SOIS,Martin Morris,Catholic,128,130.0,258,53.27443675,-6.392022302490281,Primary School
19658N,BISHOP SHANAHAN NS,Ann P Nolan,Catholic,209,263.0,472,53.30013185,-6.31838545076455,Primary School
19660A,RUSH NS,Morgan Doran,Catholic,353,397.0,750,53.5151155,-6.117633,Primary School
19661C,ST GABRIELS NS,Loretta Dunphy,Catholic,133,137.0,270,53.3432303,-6.3656917,Primary School
19662E,ST MICHAELS NS,Maria Bourke,Catholic,190,189.0,379,53.342163,-6.3521394,Primary School
19663G,ST RAPHAELS NS,Caroline Larkin,Catholic,173,189.0,362,53.3432303,-6.3656917,Primary School
19668Q,ST FRANCIS SENIOR N S,Michael Kennedy,Catholic,114,105.0,219,53.4035066,-6.2041776,Primary School
19669S,LADY OF GOOD COUNSEL BOYS SENIOR NS,Aidan Knight,Catholic,0,146.0,146,53.32483445,-6.332903870239308,Primary School
19676P,SCOIL AINE NAOFA,Conor Reilly,Catholic,282,312.0,594,53.3451141,-6.425601260022777,Primary School
19693P,MARY QUEEN OF IRELAND N S,Mrs.Aileen O'Donnell,Catholic,43,52.0,95,53.45764495,-6.294305342040863,Primary School
19694R,SCOIL MHUIRE SIN,Pauline Morley,Catholic,123,138.0,261,53.40325685,-6.400856775094874,Primary School
19702N,ST THOMAS JUNIOR N S,Suzanne O'Reilly,Catholic,184,178.0,362,53.278753449999996,-6.399643909048134,Primary School
19707A,ST RONANS N S,Mary Fitzgerald,Catholic,197,207.0,404,53.323092700000004,-6.4258311472384815,Primary School
19716B,ST ATTRACTAS SENIOR N S,Shane Maguire,Catholic,177,179.0,356,53.28778405,-6.245032859978142,Primary School
19721R,HOLY FAMILY JUNIOR N S,Declan Power,Catholic,323,321.0,644,53.4465241,-6.2409157,Primary School
19723V,QUEEN OF ANGELS PRIMARY SCHOOL,Avila Donegan (Acting Principal),Catholic,141,173.0,314,53.2753681,-6.236734678030303,Primary School
19727G,ST MARYS CENTRAL N S,Anne Purcell,Catholic,320,218.0,538,53.3204593,-6.2417859,Primary School
19742C,ST COLMCILLE SENIOR N S,Brian Mc Gowan,Catholic,385,411.0,796,53.2837759,-6.3183261,Primary School
19743E,ST BERNADETTES JUNIOR N S,Donal Ward,Catholic,100,109.0,209,53.31880915,-6.397303719076973,Primary School
19755L,SACRED HEART N S,Kieran Lyons,Catholic,423,424.0,847,53.40578515,-6.383086154747106,Primary School
19762I,ST HELENS SENIOR N S,Gwyneth Bhreathnach,Catholic,157,174.0,331,53.4375943,-6.131878,Primary School
19764M,OUR LADY OF WAYSIDE N S,John Murtagh,Catholic,56,61.0,117,53.329804800000005,-6.338919240165795,Primary School
19765O,ST THOMAS SENIOR N S,Eithne O'Shea,Catholic,192,207.0,399,53.280874600000004,-6.4099155952739295,Primary School
19769W,SCOIL THOMAIS,Mary McGarry,Catholic,333,373.0,706,53.3781987,-6.3748173,Primary School
19774P,ST JOSEPHS MXD N S,Niall Heneghan,Catholic,113,109.0,222,53.3519342,-6.2255136,Primary School
19775R,SCOIL CNOC MHUIRE JUNIOR,Dearbhla Byrne,Catholic,82,89.0,171,53.27739555,-6.391089613889109,Primary School
19777V,GAELSCOIL MIDE,Joe Ó Dónaill,Catholic,112,127.0,239,1.0,1.0,Primary School
19782O,ST BRIGIDS N S,Maeve Cloke,Catholic,104,122.0,226,53.2897008,-6.402272,Primary School
19785U,ST BERNADETTES SENIOR N S,James Ryan,Catholic,97,114.0,211,53.31880915,-6.397303719076973,Primary School
19799I,SACRED HEART N S,Liam Kelly,Catholic,233,242.0,475,53.31880915,-6.397303719076973,Primary School
19817H,ST MARYS N S,John Egan,Catholic,244,237.0,481,53.3508562,-6.4722403,Primary School
19831B,SCOIL CHAOIMHIN,Ciaran Ó Fearraigh,Catholic,31,29.0,60,1.0,1.0,Primary School
19834H,ST AIDANS NS,Tomas Hayes,Catholic,149,143.0,292,53.2897008,-6.402272,Primary School
19837N,DRIMNAGH CASTLE CBS N S,Eugene Duffy,Catholic,0,371.0,371,53.32483445,-6.332903870239308,Primary School
19840C,HOLY FAMILY SCHOOL,Margaret Martyn,Catholic,74,83.0,157,53.28639835,-6.15376402468303,Primary School
19845M,NORTH DUBLIN NS PROJECT,RUTH DONALD,Multi Denominational,102,124.0,226,53.4026209,-6.2649226,Primary School
19850F,LADYSWELL N S,Niall Murray,Catholic,238,259.0,497,53.4056702,-6.3910877,Primary School
19855P,GAELSCOIL CHLUAIN DOLCAIN,Seán Mac Cárthaigh,Catholic,245,196.0,441,1.0,1.0,Primary School
19865S,DIVINE MERCY JUNIOR NATIONAL SCHOOL,Marie Mullins,Catholic,130,182.0,312,53.3324589,-6.4364481,Primary School
19872P,SCOIL CHAITLIN MAUDE,Bairbre Ní Ghoill,Catholic,188,156.0,344,1.0,1.0,Primary School
19877C,HOLY FAMILY SENIOR N S,Geraldine Gowen,Catholic,356,370.0,726,53.4509441,-6.2361209,Primary School
19878E,Holy Rosary Primary School,Dolores Kelly,Catholic,296,297.0,593,53.27266755,-6.347964934336929,Primary School
19888H,ST ANNES MXD N S,John Fingleton,Catholic,250,240.0,490,53.2360215,-6.1351131,Primary School
19893A,ST KILIANS SENIOR N S,Barry Frisby,Catholic,120,140.0,260,53.3033746,-6.372549677224829,Primary School
19896G,SCOIL CAITRIONA NA MBRAITHRE,Siobhán Weekes,Catholic,85,77.0,162,53.3353446,-6.2465156,Primary School
19898K,GAELSCOIL AN DUINNINIGH,Nóirín Ní Laighin,Catholic,239,211.0,450,1.0,1.0,Primary School
19901T,BOOTERSTOWN N S,RACHEL FRASER,Church Of Ireland,49,40.0,89,53.3020605,-6.1933871,Primary School
19904C,HOLY CROSS N S,Ultan Mac Mathuna,Catholic,144,157.0,301,53.2894165,-6.2414382,Primary School
19907I,GAELSCOIL MOLOGA,DAIRE MAC PHAIDIN,Catholic,120,108.0,228,1.0,1.0,Primary School
19913D,ST JOSEPHS NS,Rosemarie Gaffney,Catholic,156,191.0,347,53.3982576,-6.2012474,Primary School
19919P,ST DAVIDS N S,Dwain Moore,Catholic,0,285.0,285,53.3801463,-6.2103992,Primary School
19920A,ST JOHN OF GOD N S,Aoife McNicholas,Catholic,168,0.0,168,53.3801463,-6.2103992,Primary School
19922E,OUR LADYS N S,Edel Collins,Catholic,110,144.0,254,53.31173695,-6.248157945907668,Primary School
19924I,HAROLDS CROSS N S,Bernadette Kehoe,Catholic,161,220.0,381,53.31725055,-6.285757462706654,Primary School
19926M,GAELSCOIL CHOLAISTE MHUIRE,Pól Hansard,Catholic,100,95.0,195,1.0,1.0,Primary School
19928Q,RANELAGH MULTI DENOM NS,Rosemarie Stynes,Multi Denominational,112,120.0,232,53.3248991,-6.2556938,Primary School
19929S,ST BRIGIDS SENIOR GIRLS,Siobhan Loughman,Catholic,222,8.0,230,1.0,1.0,Primary School
19933J,SCOIL TREASA NAOFA,Ann Marie Spillane,Catholic,74,118.0,192,53.331328,-6.2823673,Primary School
19935N,SCOIL EOIN,Cathy Burke,Catholic,58,81.0,139,53.3833213,-6.150838,Primary School
19938T,ST JOSEPHS,Padraic Fay,Catholic,145,171.0,316,53.2885255,-6.1416075,Primary School
19939V,SCOIL NAISIUNTA AN DEA AOIRE,Órlaith Veale,Catholic,93,117.0,210,53.2945045,-6.268521,Primary School
19940G,GAELSCOIL NAOMH PADRAIG,Liam Breathnach,Catholic,215,239.0,454,1.0,1.0,Primary School
19943M,ST DAMIENS NS,Aodh OConnor,Catholic,97,132.0,229,53.3125055,-6.3147182,Primary School
19945Q,RATHFARNHAM EDUCATE TOGETHER,Maeve McCarthy,Multi Denominational,111,105.0,216,53.2917425,-6.275012842416438,Primary School
19946S,RUTLAND NATIONAL SCHOOL,Niamh Murray,Catholic,81,81.0,162,53.3537707,-6.2547579,Primary School
19949B,ISLAMIC NATIONAL SCHOOL,Maureen Larkin,Muslim,154,151.0,305,53.2934975,-6.2299123000000005,Primary School
19954R,NORTH BAY EDUCATE TOGETHER NS,SallyMcGinley,Multi Denominational,102,110.0,212,53.3856442,-6.1490331,Primary School
19960M,ST JOHNS N S,Catherine Coady,Catholic,70,117.0,187,53.2548409,-6.1257617,Primary School
19979K,ST KEVINS N S,Dr. Barry O'Leary,Catholic,90,110.0,200,53.2764989,-6.1393731,Primary School
19981U,ST MARYS N S,Eibhlín McGarry,Catholic,163,59.0,222,53.3636841,-6.2377311,Primary School
19991A,GAELSCOIL NA CAMOIGE,Aoife Ni Raghallaigh ( Acting),Catholic,123,121.0,244,1.0,1.0,Primary School
20012S,GRIFFITH BARRACKS MULTI D SCHOOL,Eddie Fox,Multi Denominational,144,165.0,309,1.0,1.0,Primary School
20015B,GAELSCOIL BHAILE MUNNA,Ray Dempsey,Catholic,96,80.0,176,1.0,1.0,Primary School
20020R,GAELSCOIL THAOBH NA COILLE,Emer Nic Chonchradha,Catholic,222,236.0,458,53.30802625,-6.223463762155874,Primary School
20029M,ST BRIGIDS INFANT N S,Margaret O'Reilly,Catholic,120,112.0,232,1.0,1.0,Primary School
20035H,ST GABRIELS N S,Suzanne Comerford,Catholic,46,82.0,128,53.3539377,-6.2908335,Primary School
20043G,GAELSCOIL CHNOC LIAMHNA,MAIRE NI GHALLACHOIR,Catholic,118,104.0,222,1.0,1.0,Primary School
20047O,GAELSCOIL BHARRA,Seán Ó Donaile,Catholic,107,103.0,210,1.0,1.0,Primary School
20048Q,GAELSCOIL LIOS NA NOG,Áine Nic an tSíthigh,Catholic,104,124.0,228,1.0,1.0,Primary School
20052H,GAELSCOIL CHOLMCILLE,Neasa Ní Aoláin,Catholic,153,121.0,274,1.0,1.0,Primary School
20056P,GAELSCOIL PHADRAIG,Roise Uí Labhraidh,Catholic,72,78.0,150,1.0,1.0,Primary School
20059V,MOTHER OF DIVINE GRACE,Eleanor Fahy,Catholic,245,246.0,491,53.3873282,-6.2834102,Primary School
20060G,MONKSTOWN EDUCATE TOGETHER NS,Ann Marie Kenrick,Multi Denominational,249,210.0,459,53.28014315,-6.151751061063997,Primary School
20064O,OUR LADY OF CONSOLATION NS,Aoife Ní Bhreacháin,Catholic,201,86.0,287,53.374552300000005,-6.218034127419353,Primary School
20066S,LUCAN EDUCATE TOGETHER NS,Mary Tuohy,Multi Denominational,202,237.0,439,53.3520143,-6.4258526,Primary School
20091R,ST PETERS NS,Raymond Ryan,Catholic,220,249.0,469,53.3619856,-6.2767551,Primary School
20092T,ST ULTANS NS,Gary Jones,Catholic,202,200.0,402,53.3367207,-6.3692494,Primary School
20095C,GAELSCOIL BHRIAN BÓROIMHE,Séamus Seaghach,Inter Denominational,224,264.0,488,1.0,1.0,Primary School
20098I,CASTLEKNOCK EDUCATE TOGETHER NS,Aedín Ní Thuathail,Multi Denominational,189,243.0,432,53.3773205,-6.3619168,Primary School
20103V,JOHN SCOTTUS NS,Cónall Clancy,Multi Denominational,95,95.0,190,1.0,1.0,Primary School
20104A,ST AUDOENS NS,Eilish Meagher,Catholic,80,105.0,185,53.3439545,-6.2740126,Primary School
20130B,ST PATRICKS NS,Mary Power,Catholic,384,420.0,804,1.0,1.0,Primary School
20131D,EDUCATE TOGETHER NS,Fionnuala McHugh,Multi Denominational,216,254.0,470,53.3520457,-6.2797555,Primary School
20137P,MARY MOTHER OF HOPE SENIOR NS,Enda McGorman,Catholic,192,254.0,446,53.4062329,-6.430853239979768,Primary School
20139T,INCHICORE NS,Breda McEvoy,Catholic,106,102.0,208,53.3419606,-6.3255164,Primary School
20141G,THE HAROLD SCHOOL,Dervla Nic Mhathúna,Catholic,351,326.0,677,53.2860032,-6.1275326,Primary School
20145O,SWORDS EDUCATE TOGETHER NS,Karl Breen,Multi Denominational,188,254.0,442,53.471744900000004,-6.231965138774682,Primary School
20152L,NORTH DUBLIN MUSLIM NS PROJECT,Eoin Walsh,Muslim,158,158.0,316,53.3654907,-6.3010248,Primary School
20161M,DONABATE/PORTRANE EDUCATE TOGETHER,Maeve Corish,Multi Denominational,192,262.0,454,1.0,1.0,Primary School
20166W,GRIFFEEN VALLEY EDUCATE TOGETHER NS,Andrea Burke Khan,Multi Denominational,265,269.0,534,53.3405968,-6.4339681,Primary School
20168D,GLASNEVIN EDUCATE TOGETHER NS,Roisin Conlon,Multi Denominational,156,185.0,341,53.3729883,-6.2335114130770215,Primary School
20173T,ST ANNES PRIMARY SCHOOL,Mary Cullen,Catholic,187,190.0,377,53.2913225,-6.3922917,Primary School
20176C,RUSH AND LUSK EDUCATE TOGETHER NS,Noel Reilly,Multi Denominational,210,243.0,453,53.5296626,-6.1609386,Primary School
20186F,CASTAHEANY EDUCATE TOGETHER NS,Sheila Gaughan,Multi Denominational,204,201.0,405,53.398973749999996,-6.422435529766544,Primary School
20187H,DIVINE MERCY SENIOR NATIONAL SCHOOL,Regina Halpin,Catholic,248,256.0,504,53.33631525,-6.434734696507599,Primary School
20190T,HOLY TRINITY NATIONAL SCHOOL,James Tobin,Catholic,250,328.0,578,53.2587081,-6.1984975,Primary School
20194E,St. John the Evangelist National School,Anthony McGinley,Catholic,207,189.0,396,53.336327,-6.4694918,Primary School
20201V,TYRRELSTOWN EDUCATE TOGETHER NATIONAL SCHOOL,Tim Stapleton,Multi Denominational,301,274.0,575,53.4216881,-6.3745256,Primary School
20202A,BALBRIGGAN EDUCATE TOGETHER NS,Fintan McCutcheon,Multi Denominational,200,201.0,401,53.6161464,-6.1972894,Primary School
20218P,St Columbanus National School,Peter McCabe,Catholic,51,57.0,108,53.247725,-6.1300203,Primary School
20220C,GAELSCOIL UI EARCAIN,Leah Ní Mhaoláin,Catholic,158,186.0,344,1.0,1.0,Primary School
20223I,GAELSCOIL EISCIR RIADA,Damhnait Uí Ruairc,Catholic,228,229.0,457,1.0,1.0,Primary School
20231H,ST BENEDICTS NATIONAL SCHOOL,Padraic Flesk,Catholic,342,314.0,656,53.3947791,-6.426735220221904,Primary School
20241K,Scoil Choilm Community NS,Treasa Lowe,Multi Denominational,414,461.0,875,53.3764143,-6.4066979,Primary School
20247W,Scoil Ghrainne Community National School,Kenneth Scully,Multi Denominational,313,350.0,663,53.394311,-6.43951008246786,Primary School
20252P,GAELSCOIL BHAILE BRIGIN,Clodagh Ní Mhaoilchiaráin,Inter Denominational,247,223.0,470,1.0,1.0,Primary School
20268H,Adamstown Castle Educate Together National School,Thomas Moriarty,Multi Denominational,210,228.0,438,53.336327,-6.4694918,Primary School
20269J,Scoil Chormaic,Deirdre Corcoran,Multi Denominational,282,272.0,554,53.60493505,-6.2022171511029685,Primary School
20274C,Esker Educate Together N.S.,Colette Kavanagh,Multi Denominational,179,234.0,413,53.3504923,-6.438953,Primary School
20281W,St Benedicts and St Marys National School,Jennifer Plunkett,Catholic,77,64.0,141,53.3736098,-6.176414152161042,Primary School
20282B,Bracken Educate Together N.S.,Marian Griffin,Multi Denominational,196,207.0,403,53.6003042,-6.181209859650529,Primary School
20302E,Thornleigh Educate Together National School,Paula Carolan,Multi Denominational,186,169.0,355,53.4728935,-6.2330852,Primary School
20303G,Lucan East ETNS,Grainne McManus,Multi Denominational,200,232.0,432,1.0,1.0,Primary School
20304I,St. Francis of Assisi National School,Assumpta Kerins,Catholic,229,226.0,455,53.4085711,-6.1767129,Primary School
20307O,Skerries Educate Together National School,Tomás Hickey,Multi Denominational,175,195.0,370,53.5828882,-6.1338314,Primary School
20308Q,Belmayne Educate Together National School,Sinéad O'Meara,Multi Denominational,221,216.0,437,53.4019042,-6.1704827,Primary School
20309S,Mary Mother of Hope Junior National School,Alma Moran,Catholic,189,253.0,442,1.0,1.0,Primary School
20334R,Gaelscoil Ros Eo,TIM Ó TUACHAIGH,Multi Denominational,106,110.0,216,1.0,1.0,Primary School
20338C,Holy Child National School,Sarah Reilly,Catholic,322,84.0,406,53.3856261,-6.2496629,Primary School
20348F,Holywell Educate Together National School,Maria Boyne,Multi Denominational,317,360.0,677,53.3923259,-6.1612036,Primary School
20383H,Hansfield Educate Together National School,Fergal Collins,Multi Denominational,286,342.0,628,53.3914395,-6.44598,Primary School
20384J,Powerstown Educate Together National School,Aoife McGonigle,Multi Denominational,142,175.0,317,53.4218238,-6.4090635,Primary School
20392I,Pelletstown ETNS,Caitríona Ní Cheallaigh,Multi Denominational,130,130.0,260,53.37617985,-6.333323669714767,Primary School
20394M,Gaelscoil an Chuilinn,Fergus Ó Conghaile,Inter Denominational,149,143.0,292,1.0,1.0,Primary School
20397S,St Louise de Marillac Primary School,Alma Quinn,Catholic,291,21.0,312,53.3423191,-6.3547273,Primary School
20398U,Citywest & Saggart Community National School,Mike Byrne,Multi Denominational,192,222.0,414,53.2826987,-6.422680023021869,Primary School
20400E,Ballinteer Educate Together National School,Orla Mc Carthy (Acting),Multi Denominational,177,213.0,390,53.2939856,-6.2498428,Primary School
20401G,Stepaside Educate Together National School,Anne Carroll,Multi Denominational,138,199.0,337,53.2611324,-6.2196913,Primary School
20402I,City West Educate Together National School,Caitriona Hand,Multi Denominational,168,216.0,384,53.2826987,-6.422680023021869,Primary School
20411J,Firhouse Educate Together National School,Collette Dunne,Multi Denominational,130,158.0,288,53.276787549999995,-6.3392786272071415,Primary School
20412L,Gaelscoil na Giúise,Cuán Ó Flatharta,Multi Denominational,85,85.0,170,1.0,1.0,Primary School
20422O,Scoil Aoife CNS,Stacey McAuley,Multi Denominational,99,116.0,215,53.2824823,-6.4241132,Primary School
20425U,Gaelscoil Shliabh Rua,Ruth Mhic Adaim,Multi Denominational,120,116.0,236,1.0,1.0,Primary School
20426W,Lucan Community National School,Claire Downes,Multi Denominational,103,120.0,223,53.3400535,-6.4274576,Primary School
20429F,ST. JAMES'S PRIMARY SCHOOL,Noreen Flynn,Catholic,126,125.0,251,53.340384400000005,-6.28908351352597,Primary School
20430N,Canal Way Educate Together National School,Dermot Stanley,Multi Denominational,135,182.0,317,53.3410433,-6.2901214,Primary School
20436C,St Mary's Primary School,Eadaoin Kelly,Catholic,124,119.0,243,53.353666849999996,-6.26825838269691,Primary School
20437E,St Laurence's National School,Clare Finnerty,Catholic,227,238.0,465,53.3967302,-6.132514,Primary School
20441S,Shellybanks Educate Together National School,Johanne Dunne,Multi Denominational,131,146.0,277,53.3330192,-6.2126637,Primary School
20445D,Malahide / Portmarnock Educate Together National School,Emer Hoy,Multi Denominational,130,130.0,260,53.3960067,-6.193082228388759,Primary School
20450T,Assumption Junior School,Jean Leonard,Catholic,213,188.0,401,1.0,1.0,Primary School
20453C,Broombridge Educate Together National School,Eibh Ní Mhordha,Multi Denominational,50,69.0,119,53.36923765,-6.288656641801732,Primary School
20463F,Holy Spirit Junior Primary School,Fionnuala Redmond,Catholic,125,126.0,251,53.3078479,-6.3471467,Primary School
20464H,Holy Spirit Senior Primary School,Elizabeth Murray,Catholic,198,122.0,320,53.3078479,-6.3471467,Primary School
20468P,St Dominic's National School,Seamus Vaughan,Catholic,173,192.0,365,53.2845362,-6.357434590372421,Primary School
20486R,Grace Park Educate Together National School,Marcus Wynne / Caroline Mee Acting Principal,Multi Denominational,80,102.0,182,1.0,1.0,Primary School
20487T,Gaelscoil na Fuinseoige,Aisling Uí Fhéich,Multi Denominational,68,72.0,140,1.0,1.0,Primary School
20488V,Scoil Úna Naofa,Adrienne Ní Cheallaigh,Catholic,207,205.0,412,53.320735299999996,-6.308541238445172,Primary School
20494Q,Riverview Educate Together National School,Margaret Burke,Multi Denominational,50,69.0,119,53.3078479,-6.3471467,Primary School
20501K,Harcourt Terrace Educate Together National School,Niamh Cullen,Multi Denominational,11,20.0,31,53.3239322,-6.278171197065161,Primary School
20502M,Scoil Sinead NS,Marianne Henry,Multi Denominational,8,22.0,30,1.0,1.0,Primary School
20503O,Dun Laoghaire ETNS,Anne Marie Lillis,Multi Denominational,33,29.0,62,1.0,1.0,Primary School
20507W,St Laurence O'Toole's National School,Mona Lucas,Catholic,117,46.0,163,53.3510235,-6.2427901,Primary School
20509D,Lusk Junior National School St Maccullins,Orfhlaith Clarke,Catholic,222,219.0,441,53.5224667,-6.1712621,Primary School
20517C,Drumcondra Marino Dublin 1 gaelscoil,Niamh Nic Dhiarmada,Multi Denominational,8,8.0,16,1.0,1.0,Primary School
20518E,Gaelscoil Laighean,Aoife Ní Scolaí,Multi Denominational,10,2.0,12,1.0,1.0,Primary School
20519G,Stapolin Educate Together National School,Clodagh Farrell,Multi Denominational,8,11.0,19,53.3913111,-6.1559459,Primary School
20520O,Dublin 6 Clonskeagh and Dublin 6W Primary School,Cian Gleeson,Multi Denominational,6,6.0,12,53.3239322,-6.278171197065161,Primary School
20523U,Goatstown Stillorgan Primary School,Diane Devereux,Multi Denominational,2,6.0,8,53.2785065,-6.209786373837044,Primary School
20525B,Killester Raheny Clontarf Educate Together National School,Níamh O'Toole,Multi Denominational,3,4.0,7,1.0,1.0,Primary School
20528H,River Valley CNS,Anne McArdle,Multi Denominational,9,6.0,15,53.44062185,-6.2342392460999765,Primary School
20545H,St Christopher's NS,Annemarie Hogan,Catholic,318,308.0,626,53.3286363,-6.2306098,Primary School
60010P,Loreto Secondary School,MS. ANN M MCDONOUGH,CATHOLIC,"1,282",0,"1,282",53.6122056,-6.1865397,Secondary School
60021U,St Marys Secondary School,MS. EDEL GREENE,CATHOLIC,274,0,274,53.399792149999996,-6.138721275936534,Secondary School
