Roll Number,Official Name,Address (Line 1),Address (Line 2),Address (Line 3),Address (Line 4),County Description,Local Authority Description,Phone No.,Principal Name,Email,Eircode,Gaeltacht Indicator (Y/N),DEIS (Y/N),Island (Y/N),Irish Classification Description,Ethos Description,Female,Male,Total
17899C,SCOIL CARMEL,Firhouse Road,Tallaght,,,Dublin,South Dublin County Council,14514151,Ursula Martin,scoilcarmelns@eircom.net,D24NA44,N,N,N,No subjects through Irish,Catholic,186,217,403
17912O,S N EOIN BOSCO BUACH,Navan Road,Cabra,,,Dublin,Dublin City Council,18380371,Emmanuel Bourke,boscosen.ias@eircom.net,D07V654,N,N,N,No subjects through Irish,Catholic,0,449,449
17914S,ST OLIVER PLUNKETT,Grove Road,Malahide,Co. Dublin,,Dublin,Fingal County Council,18452052,Claire O'Connor,office@stops.ie,K36H998,N,N,N,No subjects through Irish,Catholic,442,474,916
17928G,SN N SAILBHEASTAR NFA,Yellow Walls Road,Malahide,Co Dublin,,Dublin,Fingal County Council,18450061,Sharon Dunne,stsylvesters@gmail.com,K36PA66,N,N,N,No subjects through Irish,Catholic,198,212,410
17936F,SN EOIN BAISDE BOYS SENIOR SCHOOL,Seafield Road,Clontarf,Dublin 3,,Dublin,Dublin City Council,18331852,Conor Ryan,info@belgroveseniorboys.ie,D03HK82,N,N,N,No subjects through Irish,Catholic,0,331,331
17953F,S N BHAILE EAMONN,Edmondstown Road,Rathfarnham,Dublin 16,,Dublin,South Dublin County Council,14933255,Philomena Cleary,edmondstownns@hotmail.com,D16XF86,N,N,N,No subjects through Irish,Catholic,52,51,103
17954H,SCOIL CAOIMHIN NAOFA,Mount Merrion,Blackrock,Co. Dublin,,Dublin,Dun Laoghaire Rathdown,12887108,Siobhan McDonagh,office@oatlandsprimaryschool.ie,A94KW94,N,N,N,No subjects through Irish,Catholic,161,295,456
17961E,S N LUSCA,Chapel Road,Lusk,Co. Dublin,,Dublin,Fingal County Council,18437738,Paul Comiskey,LuskSNSoffice@luskns.ie,K45CX43,N,N,N,No subjects through Irish,Catholic,240,217,457
17970F,OUR LADY OF MERCY CONVENT SCHOOL,Rosemount Terrace,Booterstown,Co. Dublin,,Dublin,Dun Laoghaire Rathdown,12884223,Siobhán Hanly,ourladyofmercyoffice@gmail.com,A94V656,N,N,N,No subjects through Irish,Catholic,270,,270
17976R,SCOIL ASSAIM BOYS SENIORS,Raheny,Coolock,,,Dublin,Dublin City Council,18314044,Dr. Bernadette O'Donovan,secretary@scoilassaim.com,D05AW29,N,N,N,No subjects through Irish,Catholic,0,0,297
17977T,SCOIL AINE CONVENT SENIOR,All Saints Drive,Raheny,Dublin 5,,Dublin,Dublin City Council,18319463,Clodagh O'Gara,scoilaineraheny1958@gmail.com,D05PD34,N,N,N,No subjects through Irish,Catholic,363,0,363
17978V,NAISCOIL IDE,All Saints Drive,Raheny,Dublin 5,,Dublin,Dublin City Council,18317688,Clare Ring,naiscoilide@gmail.com,D05E932,N,N,N,No subjects through Irish,Catholic,191,188,379
17979A,S N CNOC AINBHIL,Lower Kilmacud Road,Stillorgan,Co. Dublin,,Dublin,Dun Laoghaire Rathdown,12831148,Grainne McGowan,secretary@mountanvilleprimaryschool.com,A94E2N7,N,N,N,No subjects through Irish,Catholic,474,0,474
17996A,GLEN NA SMOL N S,Glenasmole,Bohernabreena,Dublin 24,,Dublin,South Dublin County Council,14624143,Mary McColgan,office@glenasmolens.com,D24YC57,N,N,N,No subjects through Irish,Catholic,44,43,87
18038B,ST MARGARETS N S,Sandyhill,Saint Margaret's,Co. Dublin,,Dublin,Fingal County Council,18361669,Grainne Noone,stmargaretsns@hotmail.com,K67PE80,N,N,N,No subjects through Irish,Catholic,43,52,95
18046A,SCOIL BRIDE B,Church Avenue,Blanchardstown,Dublin 15,,Dublin,Fingal County Council,18201299,Séamus Sullivan,secretarysbb@gmail.com,D15H329,N,N,N,No subjects through Irish,Catholic,0,352,352
18047C,SCOIL BRIDE C,Church Avenue,Blanchardstown,Dublin 15,,Dublin,Fingal County Council,18201717,Anne McKeon,priomhoidesbc@gmail.com,D15R271,N,N,N,No subjects through Irish,Catholic,367,0,367
18080A,SCOIL MHUIRE MXD,Tuckett's Lane,Howth,Co. Dublin,,Dublin,Fingal County Council,18323572,John Chambers,howthns@gmail.com,D13PW99,N,N,N,No subjects through Irish,Catholic,219,217,436
18137D,SN NAOMH FEARGAL BOYS SENIOR,FINGLAS WEST,Finglas,,,Dublin,Dublin City Council,18347609,MARY FLYNN,stfergals@yahoo.ie,D11E925,N,Y,N,No subjects through Irish,Catholic,0,153,153
18170B,SN MUIRE NA FREASTOGALA GIRLS SEN,Assumption Senior Girls NS,Long Mile Rd,Walkinstown,Dublin 12,Dublin,Dublin City Council,14508309,Jonathan Hanley,info@assumptiongns.ie,D12FK49,N,N,N,No subjects through Irish,Catholic,243,0,243
18173H,S N BRIOTAS,Brittas,Co. Dublin,,,Dublin,South Dublin County Council,14582311,Cormac O'Farrell,smarbrit.ias@eircom.net,D24WK77,N,N,N,No subjects through Irish,Catholic,54,59,113
18205R,S N AN PHAROISTE,Church Street,Finglas,Dublin 11,,Dublin,Dublin City Council,18347349,Amanda Hawes,principal@finglasparochialns.ie,D11XT35,N,Y,N,No subjects through Irish,Church Of Ireland,36,26,62
18282M,SN PAROISTE MAITIU NFA,Cranfield Place,Sandymount,Dublin 4,,Dublin,Dublin City Council,16603145,Naomi Rousseau,secretary@stmatts.ie,D04FK11,N,N,N,No subjects through Irish,Church Of Ireland,117,106,223
18323A,SCOIL LORCAIN B,The Oval,Palmerstown,Dublin 20,,Dublin,South Dublin County Council,16267493,John Moore,stlorcans@eircom.net,D20W227,N,N,N,No subjects through Irish,Catholic,0,379,379
18324C,SCOIL BRIDE C,Turret Road,Palmerstown,Dublin 20,,Dublin,South Dublin County Council,16265431,Aideen O'Shea,stbrigidsgns@gmail.com,D20AC82,N,N,N,No subjects through Irish,Catholic,388,0,388
18360G,SCOIL BHREANDAIN,McAuley Road,Artane,Dublin 5,,Dublin,Dublin City Council,18319047,Siobhán Flynn,stbrendansartane@gmail.com,D05P820,N,Y,N,No subjects through Irish,Catholic,0,157,157
18361I,SN CAITRIONA GIRLS,Measc Avenue,Coolock,Dublin 5,,Dublin,Dublin City Council,18480018,Imelda Whelan,scoilchaitriona@gmail.com,D05HR61,N,Y,N,No subjects through Irish,Catholic,177,0,177
18362K,S N CAITRIONA NAIONAIN,Measc Avenue,Coolock,Dublin 5,,Dublin,Dublin City Council,18480142,Maria Dineen,scoilchaitriona.infants246@gmail.com,D05FC92,N,Y,N,No subjects through Irish,Catholic,145,103,248
18386B,MARIST NATIONAL SCHOOL,Clogher Road,Crumlin,Dublin 12,,Dublin,Dublin City Council,14541228,Sr. Geraldine Campbell,maristps@hotmail.com,D12YP98,N,Y,N,No subjects through Irish,Catholic,208,75,283
18411U,ST MARYS SCHOOL,Greenhills Road,Tallaght,Dublin 24,,Dublin,South Dublin County Council,14515387,Shane Cadigan,office@stmarystallaght.ie,D24K248,N,N,N,No subjects through Irish,Catholic,164,177,341
18412W,S N C NAOMH PADRAIG,Portrane Road,Donabate,Co. Dublin,,Dublin,Fingal County Council,18436201,Ciara Greene,scoilphadraic@gmail.com,K36KH36,N,N,N,No subjects through Irish,Catholic,437,0,437
18451J,SCOIL LORCÁIN,Cearnóg Eaton,Baile na Manach,Co. Átha Cliath,,Dublin,Dun Laoghaire Rathdown,12808906,Colmán Ó Drisceoil,scoillorcain1@scoillorcain.ie,A94F596,N,N,N,All subjects through Irish,Catholic,249,235,484
18477E,SCOIL NA MBRATHAR,John Dillon Street,Enchicore,,,Dublin,Dublin City Council,14531800,Fiona Collins,principal.francisstcbs@gmail.com,D08FE83,N,Y,N,No subjects through Irish,Catholic,0,155,155
18585H,SN BANRION NA NAINGEAL1,GURTEEN ROAD,BALLYFERMOT,DUBLIN 10,,Dublin,Dublin City Council,16265207,MAURICE SWEENEY,mqa1@eircom.net,D10A997,N,Y,N,No subjects through Irish,Catholic,0,167,167
18602E,SCOIL MHUIRE,Convent Road,Clondalkin,Dublin 22,,Dublin,South Dublin County Council,14592986,Carol Burke Heneghan,scoilmhuireoffice@eircom.net,D22F851,N,N,N,No subjects through Irish,Catholic,253,109,362
18623M,SCOIL NAISUNTA CHNUACHA,Main Street,Castleknock,Dublin 15,,Dublin,Fingal County Council,18202611,Sandra Moloney,office@castleknocknationalschool.ie,D15PV38,N,N,N,No subjects through Irish,Church Of Ireland,105,107,212
18632N,S N EOIN BOSCO NAI BUAC,Navan Road,Cabra,,,Dublin,Dublin City Council,18380495,Karen Mc Goldrick,info@stjohnboscojbs.com,D07WP22,N,N,N,No subjects through Irish,Catholic,0,196,196
18642Q,S N NAOMH EOIN,Tower Road,Clondalkin,Dublin 22,,Dublin,South Dublin County Council,14570680,Michelle Sharkey,principal@stjohnsnsclondalkin.com,D22YN52,N,N,N,No subjects through Irish,Church Of Ireland,43,50,93
18646B,SPRINGDALE N S,Lough Derg Road,Raheny,Dublin 5,,Dublin,Dublin City Council,18317149,Lesley Cahill,principal@springdale.ie,D05E954,N,N,N,No subjects through Irish,Church Of Ireland,121,121,242
18647D,S N SAN TREASA,The Rise,Mount Merrion,Co. Dublin,,Dublin,Dun Laoghaire Rathdown,12881505,Frances Mullin,principal@sstreasa.ie,A94EK75,N,N,N,No subjects through Irish,Catholic,212,232,444
18655C,SCOIL NAOMH SEOSAMH,Boot Road,Clondalkin,Dublin 22,,Dublin,South Dublin County Council,14592951,Niall Desmond,secretary@stjosephsbns.ie,D22PY13,N,N,N,No subjects through Irish,Catholic,0,414,414
18682F,ST CANICES B N S,Glasanaon Road,Finglas,Dublin 11,,Dublin,Dublin City Council,18341585,Tim Walsh,info@stcanices.com,D11TW01,N,Y,N,No subjects through Irish,Catholic,0,408,408
18683H,ST CANICES G N S,Seamus Ennis Road,Finglas,Dublin 11,,Dublin,Dublin City Council,18342072,Dearbhla White,info@stcanicesgns.ie,D11C927,N,Y,N,No subjects through Irish,Catholic,486,0,486
18726W,S N SEOSAMH NA MBRATHAR,Marino Park Avenue,Fairview,Dublin 3,,Dublin,Dublin City Council,18336127,Kevin Gillen,barbara@stjosephscbs.ie,D03H524,N,Y,N,No subjects through Irish,Catholic,0,125,125
18778S,S N NAOMH MOCHTA,Porterstown Road,Clonsilla,Dublin 15,,Dublin,Fingal County Council,18130430,Maria Farrell,info@stmochtas.ie,D15Y316,N,N,N,No subjects through Irish,Catholic,426,459,885
18806U,KILTERNAN N S 1,Kilternan,Carrickmines,,,Dublin,Dun Laoghaire Rathdown,12955682,Brenda Carson,school@ourladyofthewaysidens.ie,D18CY28,N,N,N,No subjects through Irish,Catholic,136,184,320
18817C,S N BRIGHDE,Cullenswood House,Bóthar Feadha Cuilinn,Raghnallach,Baile Átha Cliath 6,Dublin,Dublin City Council,14973390,Gráinne Dollard,scoilbhride01@gmail.com,D06E8K7,N,N,N,All subjects through Irish,Catholic,212,224,436
18843D,BAINRION NA N-AINGAL 2,Gurteen Road,Ballyfermot,Dublin 10,,Dublin,Dublin City Council,16235067,Seán O'Shea,maryqueenofangels2@gmail.com,D10C527,N,Y,N,No subjects through Irish,Catholic,0,131,131
18886V,KILL-O'-THE-GRANGE NS,Deansgrange,Blackrock,Co. Dublin,,Dublin,Dun Laoghaire Rathdown,12894578,Hilary McBain,admin@kogrange.com,A94X225,N,N,N,No subjects through Irish,Church Of Ireland,102,115,217
18910P,BANTIARNA NA MBUANNA BOYS,Ballymun Rd,Santry,,,Dublin,Dublin City Council,18375255,Roisin Hickey,olvboys.ias@eircom.net,D09HC90,N,Y,N,No subjects through Irish,Catholic,0,200,200
18911R,BANTIARNA NA MBUANNA GIRLS,Ballymun Road,Santry,,,Dublin,Dublin City Council,18379833,Lorna Greene,victories.ias@eircom.net,D09NY99,N,Y,N,No subjects through Irish,Catholic,202,0,202
18968A,ST MALACHYS B N S,Edenmore Park,Raheny,Dublin 5,,Dublin,Dublin City Council,18478952,Grainne Roche,stmalachyse.ias@eircom.net,D05HP30,N,Y,N,No subjects through Irish,Catholic,0,160,160
18969C,ST EITHNES SENIOR GIRLS NS,Edenmore,Raheny,Dublin 5,,Dublin,Dublin City Council,18480630,Cormac Henry,steithnesgns@gmail.com,D05NH04,N,Y,N,No subjects through Irish,Catholic,87,0,87
18976W,S N CHOLMILLE B,Chapel Lane,Swords,,,Dublin,Fingal County Council,18405132,Ciara Brangan,colmcilles@gmail.com,K67WP65,N,N,N,No subjects through Irish,Catholic,0,407,407
18977B,S N CHOLMCILLE C,Chapel Lane,Swords,Co. Dublin,,Dublin,Fingal County Council,18404168,Karen Burke Logue,colmcillesgns@gmail.com,K67H337,N,N,N,No subjects through Irish,Catholic,435,0,435
19001G,BALLYBOGHILL N S,Ballyboughal,Co. Dublin,,,Dublin,Fingal County Council,18433469,Maeve O'Doherty,principal@ballyboughalns.ie,A41RC98,N,N,N,No subjects through Irish,Catholic,114,107,221
19006Q,EOIN BAISDE B SOIS,Seafield Road,Clontarf,Dublin 3,,Dublin,Dublin City Council,18336539,John O'Sullivan,info@belgrovejbs.ie,D03TD21,N,N,N,No subjects through Irish,Catholic,0,334,334
19007S,EOIN BAISDE C NAOIDH,Seafield Road West,Clontarf,Dublin 3,,Dublin,Dublin City Council,18332459,Dearbhla O'Driscoll,secretary@belgrove.ie,D03XK27,N,N,N,No subjects through Irish,Catholic,276,0,276
19015R,ST JOSEPHS G N S,Barry Avenue,Finglas West,Dublin 11,,Dublin,Dublin City Council,18342433,Áine Fitzgerald,principal@stjosephsfinglas.net,D11A8PD,N,Y,N,No subjects through Irish,Catholic,169,0,169
19037E,ST MONICAS N S,Edenmore Park,Raheny,Dublin 5,,Dublin,Dublin City Council,18674540,Sinead Mullen,scoilmonica@gmail.com,D05VX21,N,Y,N,No subjects through Irish,Catholic,45,0,45
19066L,LORETO NATIONAL SCHOOL,Loreto Avenue,Dalkey,Co. Dublin,,Dublin,Dun Laoghaire Rathdown,12802128,Fióna McKenna,secretary@loretopsdalkey.ie,A96P8N3,N,N,N,No subjects through Irish,Catholic,273,79,352
19114T,ST PATRICK GNS,Ballyroan,Rathfarnham,Dublin 16,,Dublin,South Dublin County Council,14946566,Anna Jennings,info@snp.ie,D16XK80,N,N,N,No subjects through Irish,Catholic,438,124,562
19177U,ST PIUS X N S BOYS,Fortfield Park,Terenure,Dublin 6,,Dublin,South Dublin County Council,14903057,Lorcan Coyle,secretary@piusxbns.ie,D6WHP92,N,N,N,No subjects through Irish,Catholic,0,542,542
19178W,ST PIUS X G N S,Fortfield Park,Terenure,Dublin 6W,,Dublin,South Dublin County Council,14901052,Áine Doyle,secretary@piusxgns.ie,D6WPN27,N,N,N,No subjects through Irish,Catholic,541,0,541
19197D,ST KEVINS B N S,Barry Avenue,Finglas West,Dublin 11,,Dublin,Dublin City Council,18343061,Noleen Griffiths,stkevinsadmin@eircom.net,D11VW22,N,Y,N,No subjects through Irish,Catholic,0,169,169
19208F,HOLY SPIRIT B N S,Sillogue Road,Ballymun,Dublin 11,,Dublin,Dublin City Council,18421230,Vivienne Bryan,holyspiritbns@yahoo.co.uk,D11N207,N,Y,N,No subjects through Irish,Catholic,0,337,337
19209H,SN AN SPIORAID NAIOMH C,Sillogue Road,Ballymun,Dublin 11,,Dublin,Dublin City Council,18420207,Emma Conroy,principal@holyspiritgns.ie,D11X26P,N,Y,N,No subjects through Irish,Catholic,308,0,308
19220S,SCOIL NAOMH IDE,New Road,Clondalkin,Dublin 22,,Dublin,South Dublin County Council,14592766,Orla Ní Odhráin,secretary@scoilidepps.com,D22ED72,N,N,N,No subjects through Irish,Catholic,199,73,272
19221U,SCOIL NAOMH AINE,New Road,Clondalkin Village,Dublin 22,,Dublin,South Dublin County Council,14591645,Karen McKevitt (Acting),admin@scoilaine.ie,D22X577,N,N,N,No subjects through Irish,Catholic,203,57,260
19242F,OUR LADY OF VICTORIES INFANT N S,Ballymun Road,Santry,,,Dublin,Dublin City Council,18372372,Mary McDonnell,office@olvinfants.com,D09YC99,N,Y,N,No subjects through Irish,Catholic,115,118,233
19258U,SCOIL PADRAIG NAOFA B,Hollypark,Blackrock,Co. Dublin,,Dublin,Dun Laoghaire Rathdown,12896042,Barry O'Donovan,info@hollyparkbns.ie,A94FE02,N,N,N,No subjects through Irish,Catholic,0,623,623
19259W,ST PATRICKS GNS,Foxrock Avenue,Foxrock,Dublin 18,,Dublin,Dun Laoghaire Rathdown,12893293,Bernadette Gunning,hollyparkgns@gmail.com,D18V659,N,N,N,No subjects through Irish,Catholic,568,0,568
19297H,CROMCASTLE GREEN B N S,Cromcastle Green,Kilmore West,DUBLIN 5,,Dublin,Dublin City Council,18476709,Martin Stynes,mrstynes@scoilfhursa.ie,D05YP68,N,Y,N,No subjects through Irish,Catholic,0,212,212
19298J,SCOIL NAIS IDE CAILINI,Cromcastle Green,Kilmore West,Dublin 5,,Dublin,Dublin City Council,18476048,Andrea Lynch,info@scoilidegns.ie,D05TN12,N,Y,N,No subjects through Irish,Catholic,145,0,145
19302U,SN NA MAIGHDINE MUIRE B,Shangan Road,Ballymun,Dublin 9,,Dublin,Dublin City Council,18421314,John Clinton,Info@virginmarybns.ie,D09H2F2,N,Y,N,No subjects through Irish,Catholic,0,131,131
19303W,VIRGIN MARY GIRLS NATIONAL SCHOOL,Shangan Road,Ballymun,Dublin 9,,Dublin,Dublin City Council,18421614,Niamh Cuthbert,info@virginmarygns.ie,D09T2X6,N,Y,N,No subjects through Irish,Catholic,166,0,166
19308J,ST BRIGIDS BOYS N S,Howth Road,Killester,Dublin 5,,Dublin,Dublin City Council,18336149,Nuala Cullen,info@stbrigidsbns.ie,D05A386,N,N,N,No subjects through Irish,Catholic,0,350,350
19309L,SCOIL NEASAIN,Baile Harmain,Baile Átha Cliath 5,,,Dublin,Dublin City Council,18316338,Deirble Nic Conghamhna,oifigscn@gmail.com,D05VF95,N,N,N,All subjects through Irish,Catholic,123,129,252
19314E,SCOIL NA MAIGHDINE MHUIRE BOY,Broadford Rise,Ballinteer,Dublin 16,,Dublin,Dun Laoghaire Rathdown,14946647,Colette Howlett (Acting Principal),info@olbns.com,D16CX60,N,N,N,No subjects through Irish,Catholic,0,283,283
19319O,ST Olaf's National School,Balally Drive,Dundrum,Dublin 16,,Dublin,Dun Laoghaire Rathdown,12956513,Ger Murphy,olaf.info@gmail.com,D16E067,N,N,N,No subjects through Irish,Catholic,229,280,509
19320W,OUR LADY OF GOOD COUNSEL BOYS N S,Johnstown,Dún Laoghaire,Co. Dublin,,Dublin,Dun Laoghaire Rathdown,12851449,Neil Cadogan,johnstownbns@olgc.ie,A96AF10,N,N,N,No subjects through Irish,Catholic,0,402,402
19321B,OUR LADY GOOD COUNSEL GNS,Woodley Road,Johnstown,Dun Laoghaire,Co. Dublin,Dublin,Dun Laoghaire Rathdown,12853775,Caroline Quinn,office@johnstowngns.ie,A96A033,N,N,N,No subjects through Irish,Catholic,436,10,446
19335M,SCOIL NA AINGEAL,Newtownpark AVenue,Blackrock,Co. Dublin,,Dublin,Dun Laoghaire Rathdown,12833961,Pádraig Ó Néill,info@guardianangels.ie,A94H395,N,N,N,No subjects through Irish,Catholic,243,198,441
19374W,Our lady's Grove Primary School,"Goatstown Road,",Drumdrum,,,Dublin,Dun Laoghaire Rathdown,12988694,Anne Kernan,annekernan@olgps.ie,D14Y993,N,N,N,No subjects through Irish,Catholic,218,221,439
19390U,ST MARKS SEN NS,Springfield,Tallaght,Dublin 24,,Dublin,South Dublin County Council,14513138,Richard Walsh,secretary@saintmarksns.ie,D24FV07,N,N,N,No subjects through Irish,Catholic,272,257,529
19393D,MHUIRE IOSEF JUNIOR,"Verbena Avenue,",Sutton,Dublin 13,,Dublin,Fingal County Council,18326524,Elizabeth Madigan,notices@baysidejunior.ie,D13CD56,N,N,N,No subjects through Irish,Catholic,210,199,409
19395H,SCOIL MOBHI,Bóthar Mobhí,Glasnaíon,Baile Átha Cliath 9,,Dublin,Dublin City Council,18379591,Marcella Nic Niallaigh,oifig@scoilmobhi.ie,D09A303,N,N,N,All subjects through Irish,Catholic,118,136,254
19396J,NA MAIGHDINE MUIRE GIRL,Ballinteer,Dublin 16,,,Dublin,Dun Laoghaire Rathdown,14930736,Yvonne Lane,info@ourladysgns.ie,D16C820,N,N,N,No subjects through Irish,Catholic,297,0,297
19400U,SN GLEANN NA GCAORACH INÍON LÉINÍN,Wyvern,Killiney,Co. Dublin,,Dublin,Dun Laoghaire Rathdown,12856011,Sarah Honner,info@gkns.ie,A96P585,N,N,N,No subjects through Irish,Church Of Ireland,110,122,232
19406J,HOLY TRINITY SEN N S,Grange Road,Donaghmede,Dublin 13,,Dublin,Dublin City Council,18474695,David Henry,htnsoffice@eircom.net,D13WY00,N,N,N,No subjects through Irish,Catholic,178,203,381
19430G,SCOIL AN TSEACHTAR LAOCH,Bóthar Bhaile Munna,Baile Átha Cliath 11,,,Dublin,Dublin City Council,18425725,Deirdre Ní Chonghaile,7laoch.ias@eircom.net,D11E306,N,Y,N,All subjects through Irish,Catholic,101,96,197
19431I,ST JOSEPHS JNR,St Joseph's Junior National School,Balbutcher Lane,Ballymun,Dublin 11,Dublin,Dublin City Council,18421801,Jennie McGee,stjosjun@eircom.net,D11ND82,N,Y,N,No subjects through Irish,Catholic,66,88,154
19435Q,ST FRANCIS XAVIER J N S,Roselawn Road,Castleknock,Dublin 15,,Dublin,Fingal County Council,18210892,Heidi Collins,sfxjns1@eircom.net,D15CX84,N,N,N,No subjects through Irish,Catholic,214,199,413
19437U,SCOIL NAITHI,Bóthar Átha Leathan,Baile an tSaoir,Baile Átha Cliath 16,,Dublin,Dun Laoghaire Rathdown,12981931,Paula Ní Uigín,oifig@scoilnaithi.com,D16EK63,N,N,N,All subjects through Irish,Catholic,114,123,237
19438W,SCOIL COLMCILLE SENIOR,Coolevin,Ballybrack,Co. Dublin,,Dublin,Dun Laoghaire Rathdown,12855527,Aidan Boyle,cholmsenior@gmail.com,A96TN32,N,Y,N,No subjects through Irish,Catholic,66,75,141
19446V,SCOIL MHUIRE BOYS,Grange Road,Rathfarnham,Dublin 14,,Dublin,South Dublin County Council,14931477,Edward O'Riordan,secretary@marysbns.ie,D14P046,N,N,N,No subjects through Irish,Catholic,0,444,444
19454U,DARNDALE NS JUNIOR,OUR LADY IMMAC JUN NS,DARNDALE,MALAHIDE ROAD,DUBLIN 17,Dublin,Dublin City Council,18476643,Margaret Hughes,ddalejnr@eircom.net,D17TR25,N,Y,N,No subjects through Irish,Catholic,104,109,213
19456B,ST CRONANS JUNIOR NATIONAL SCHOOL,Brackenstown,Swords,Co. Dublin,,Dublin,Fingal County Council,18402194,Edel Moloney,info@stcronansjns.ie,K67DP28,N,N,N,No subjects through Irish,Catholic,265,279,544
19462T,SCOIL MAELRUAIN JUNIOR,Old Bawn,Tallaght,Dublin 24,,Dublin,South Dublin County Council,14513967,Mairéad Ryan,scoilmaelruainjunior@gmail.com,D24T854,N,N,N,No subjects through Irish,Catholic,184,227,411
19463V,SCOIL MAELRUAIN SENIOR,Old Bawn,Tallaght,Dublin 24,,Dublin,South Dublin County Council,14510706,Caitriona Hogan,smsinsear@yahoo.ie,D24EV18,N,N,N,No subjects through Irish,Catholic,207,237,444
19465C,ST KEVINS BOYS,Kilnamanagh,Tallaght,Dublin 24,,Dublin,South Dublin County Council,14517925,James Murray,marion@stkevinsboys.ie,D24A2XF,N,N,N,No subjects through Irish,Catholic,0,334,334
19466E,ST KEVINS GIRLS,Kilnamanagh,Tallaght,Dublin 24,,Dublin,South Dublin County Council,14517981,Miriam Dignam,info@stkevinsgns.com,D24R6PT,N,N,N,No subjects through Irish,Catholic,296,0,296
19470S,ST FRANCIS XAVIER SENIOR N S,Roselawn,Castleknock,Dublin 15,,Dublin,Fingal County Council,18211121,Adrienne Darby,sfxseniorschool@eircom.net,D15WY02,N,N,N,No subjects through Irish,Catholic,147,213,360
19471U,ST PAULS JUNIOR NATIONAL SCHOOL,Clonrosse Drive,Ard na Gréine,Dublin 13,,Dublin,Dublin City Council,18470479,Elaine McNulty,ayrfieldjns@eircom.net,D13PK10,N,N,N,No subjects through Irish,Catholic,125,101,226
19472W,ST MARKS JUNIOR MIXED,Springfield,Tallaght,Dublin 24,,Dublin,South Dublin County Council,14512076,Deirdre Ní Bhroin,info@stmarksjs.ie,D24FT95,N,N,N,No subjects through Irish,Catholic,245,261,506
19473B,SCOIL BHRIDE,Grange Road,Donaghmede,Dublin 13,,Dublin,Dublin City Council,18470014,Áine Dillon,office@scoilbhridejns.com,D13NY53,N,N,N,No subjects through Irish,Catholic,218,192,410
19474D,SCOIL COLMCILLE NAOFA,Idrone Avenue,Knocklyon,Dublin 16,,Dublin,South Dublin County Council,14947422,David Curtin,office@ccjns.ie,D16H337,N,N,N,No subjects through Irish,Catholic,379,409,788
19480V,ST PATRICKS,St Patrick's Close,Enchicore,,,Dublin,Dublin City Council,14540588,Jennifer McCormack,choirsch.ias@eircom.net,D08WK19,N,N,N,No subjects through Irish,Church Of Ireland,14,20,34
19489Q,SN NAOMH FINNIN,Glenties Park,Rivermount,Finglas South,Dublin 11,Dublin,Dublin City Council,18341130,Janet O' Donnell (Acting),saintfinians@gmail.com,D11WN70,N,Y,N,No subjects through Irish,Catholic,109,140,249
19490B,SCOIL MHUIRE,Glenmore Court,Ballyboden,Dublin 16,,Dublin,South Dublin County Council,14931967,Owen McLoughlin,omcloughlin@hotmail.com,D16V043,N,Y,N,No subjects through Irish,Catholic,118,110,228
19494J,BISHOP GALVIN NS,Orwell Park,Templeogue,Dublin 6w,,Dublin,South Dublin County Council,14566652,Kathryn Corbett,secretary@bishopgalvin.ie,D6WY791,N,N,N,No subjects through Irish,Catholic,243,243,486
19496N,SCOIL FHIACHRA SOISIR,Montrose Park,Artane,Dublin 5,,Dublin,Dublin City Council,18472367,Áine Carberry,fiachrajunior76@yahoo.com,D05W248,N,N,N,No subjects through Irish,Catholic,330,322,652
19497P,SCOIL MHUIRE,Rathsallagh,Shankill,Dublin 18,,Dublin,Dun Laoghaire Rathdown,12823507,Patricia Slavin,scoilmhuireshankill@gmail.com,D18FT91,N,Y,N,No subjects through Irish,Catholic,149,175,324
19502F,SCOIL AENGHUSA JUN NS,Balrothery,Tallaght,Dublin 24,,Dublin,South Dublin County Council,14513912,Ann Marie Blake,aonghusajnr.ias@scoilaonghusajnr.com,D24YN34,N,Y,N,No subjects through Irish,Catholic,107,107,214
19503H,SCOIL CHRONAIN,An tSráid Mhór,Ráth Cúil,Co. Átha Cliath,,Dublin,South Dublin County Council,14588889,Siobhán Mhic Gearailt,oifig@scoilchronain.ie,D24YW81,N,N,N,All subjects through Irish,Catholic,202,207,409
19505L,SN OILIBHEIR,An Chúil Mhín,Cluain Saileach,Baile Átha Cliath 15,,Dublin,Fingal County Council,18215277,Antóin Ó Cléirigh,priomhoide.scoil.oilibheir@gmail.com,D15PX99,N,N,N,All subjects through Irish,Catholic,133,133,266
19509T,SCOIL NANO NAGLE,Bawnogue Road,Clondalkin,Dublin 22,,Dublin,South Dublin County Council,14571306,Damien Burke,nanonagleinfo2@gmail.com,D22VF68,N,Y,N,No subjects through Irish,Catholic,146,159,305
19510E,TALBOT SENIOR NS,Bawnoge,Clondalkin,Dublin 22,,Dublin,South Dublin County Council,14571226,Loyola Madden,talbotsns@hotmail.com,D22RT44,N,Y,N,No subjects through Irish,Catholic,149,146,295
19515O,SN NAOMH TREASA,Hampton,Balbriggan,Co. Dublin,,Dublin,Fingal County Council,18416270,Killian O'Mahony,adminstteresasps@gmail.com,K32E925,N,Y,N,No subjects through Irish,Catholic,220,221,441
