Roll Number,Official School Name,Address 1,Address 2,Address 3,Address 4,County,Local Authority,Eircode,Principal Name,Email,Phone,DEIS (Y/N),Gaeltacht Area Location (Y/N),Island Location (Y/N),Fee Paying School (Y/N),Pupil Attendance Type,School Gender - Post Primary,Irish Classification - Post Primary,Post Primary School Type,Ethos/Religion,FEMALE,MALE,TOTAL (2019-20)
60930L,Rosemont School,Enniskerry Road,Sandyford,Dublin 18,,Dublin,Dun Laoghaire Rathdown,D18A8N2,MS. JANET DEAN,info@rosemont.ie,12078007,N,N,N,Y,Day,Girls,No subjects taught through Irish,Secondary,CATHOLIC,182,0,182
60991I,Our Lady Of Mercy Secondary School,Mourne Road,Drimnagh,Dublin 12,,Dublin,Dublin City Council,D12HT22,MR. PADHRAIC GIBBONS,admin@olmdrimnagh.com,14554691,Y,N,N,N,Day,Mixed,No subjects taught through Irish,Secondary,CATHOLIC,122,185,307
61010U,Wesley College,Ballinteer,Dublin 16,,,Dublin,Dun Laoghaire Rathdown,D16NX73,MR. CHRISTOPHER WOODS,info@wesleycollege.ie,12987066,N,N,N,Y,Mixed,Mixed,No subjects taught through Irish,Secondary,METHODIST,469,459,928
61020A,Stratford College,1 Zion Road,Rathgar,Dublin 6,Ireland,Dublin,Dublin City Council,D06T9V3,MS. P. GORDON,admin@stratfordcollege.ie,14922315,N,N,N,Y,Day,Mixed,No subjects taught through Irish,Secondary,JEWISH,67,81,148
68071G,John Scottus Secondary School,Old Conna,Ferndale Road,Rathmichael,Co. Dublin,Dublin,Dublin City Council,A98FN12,DR. DECLAN KELLY,dkelly@johnscottus.ie,16680828,N,N,N,Y,Day,Mixed,No subjects taught through Irish,Secondary,INTER DENOMINATIONAL,56,63,119
68082L,Coláiste Ghlór na Mara,Bóthar na hAille,Baile Brigín,Co. Átha Cliath,,Dublin,Fingal County Council,K32WV18,MS. MAEDHBH ABAYAWICKREMA,runai@cgnm.ie,01 841 6269,N,N,N,N,Day,Mixed,All pupils taught all subjects through Irish,Secondary,MULTI DENOMINATIONAL,152,168,320
68083N,Le Cheile Secondary School,Hollystown Road,Tyrrelstown,Dublin 15,,Dublin,Fingal County Council,D15NX98,MS. AINE MORAN,msharrington@lecheilesecondaryschool.ie,879045357,N,N,N,N,,Mixed,No subjects taught through Irish,Secondary,CATHOLIC,361,389,750
68101M,Hansfield ETSS,Barnwell Road,Hansfield,Dublin 15,,Dublin,Fingal County Council,D15H1FC,MS. BERNADETTE JUDGE,info@hetss.ie,18614729,N,N,N,N,Day,Mixed,No subjects taught through Irish,Secondary,MULTI DENOMINATIONAL,287,359,646
68161H,Gaelcholáiste an Phiarsaigh,An Mhainistir,Bóthar na Gráinsí,Ráth Fearnáin,Baile Átha Cliath 14,Dublin,Dun Laoghaire Rathdown,D14PP82,MR. JOE MAC SUIBHNE,joe@gaelcholaiste.com,14933335,N,N,N,N,Day,Mixed,All pupils taught all subjects through Irish,Secondary,MULTI DENOMINATIONAL,139,123,262
68181N,New Cross College,Cappagh Road,Finglas,Dublin 11,,Dublin,Fingal County Council,D11NC56,MR. DEREK LYNCH,admin@newcross.ie,18343165,Y,N,N,N,Day,Mixed,No subjects taught through Irish,Secondary,CATHOLIC,80,119,199
68241F,Stepaside Educate Together Secondary School,Belarmine Vale,Belarmine,Stepaside,Dublin 18,Dublin,Dun Laoghaire Rathdown,D18H7W6,MISS BARBARA MULHALL,admin@stepasideetss.ie,12907404,N,N,N,N,,Mixed,No subjects taught through Irish,Secondary,MULTI DENOMINATIONAL,82,132,214
68262N,Bremore Educate Together Secondary School,Stephenstown Campus,Naul Road,Balbriggan,Co. Dublin,Dublin,Fingal County Council,K32AD90,MS. KATHLEEN JONES,info@bremoreetss.com,01 8415897,N,N,N,N,Day,Mixed,No subjects taught through Irish,Secondary,MULTI DENOMINATIONAL,128,240,368
68305F,Sandymount Park Educate Together Secondary School,The Sandymount Building,16 Simmonscourt Road,Ballsbridge,Dublin 4,Dublin,Dublin City Council,,MS. PAULA MULHALL,office@sandymountparketss.ie,19106230,N,N,N,U,Day,Mixed,No subjects taught through Irish,Secondary,MULTI DENOMINATIONAL,38,40,78
68306H,Edmund Rice College,Mill Road,Blanchardstown,,Dublin 15,Dublin,Fingal County Council,,MR. BRENDAN HARRINGTON,admin@ercdublin.ie,18179045,N,N,N,N,Day,Mixed,No subjects taught through Irish,Secondary,CATHOLIC,74,61,135
68307J,Firhouse Educate Together Secondary School,Firhouse,Dublin 24,,,Dublin,South Dublin County Council,,MS. CLAIRE MATTHEWS,principal@firhouseetss.ie,01 9618199,N,N,N,N,Day,Mixed,No subjects taught through Irish,Secondary,MULTI DENOMINATIONAL,43,38,81
68308L,Malahide & Portmarnock Secondary School,Swords Enterprise Park,Feltrim Road,Drinan,"Swords, Co Dublin",Dublin,Fingal County Council,K67PX85,MS. AOIFE KELLY GIBSON,aoife@mpetss.ie,19631299,N,N,N,N,Day,Mixed,No subjects taught through Irish,Secondary,MULTI DENOMINATIONAL,25,42,67
68346T,Donaghmede Howth Educate Together Secondary School,Grange Abbey Road,Dublin 13,,,Dublin,Fingal County Council,,MS. ASHLING KENEVEY,info@dublinnortheastetss.ie,TBD,N,N,N,N,Day,Mixed,No subjects taught through Irish,Secondary,MULTI DENOMINATIONAL,18,12,30
70010V,Balbriggan Community College,Pine Ridge,Chapel St.,Balbriggan,Co Dublin,Dublin,Fingal County Council,K32HE19,Emmett Sheridan,cshirran@ddletb.ie,18412388,Y,N,N,N,Day,Mixed,No subjects taught through Irish,Vocational,INTER DENOMINATIONAL,166,350,516
70020B,Grange Community College,Grange Abbey Road,Donaghmede,Dublin 13,,Dublin,Dublin City Council,D13NX25,Séan Smyth,grangeccadmin@ddletb.ie,18471422,Y,N,N,N,Day,Mixed,No subjects taught through Irish,Vocational,INTER DENOMINATIONAL,112,168,280
70021D,Coláiste de hÍde,Br Chaisleáin Thigh Mótháin,Tamhlacht,,Baile Atha Cliath 24,Dublin,South Dublin County Council,D24NP82,Joy Uí Mhurchadha,eolas@colaistedehide.ie,14513984,Y,N,N,N,Day,Mixed,All pupils taught all subjects through Irish,Vocational,MULTI DENOMINATIONAL,164,135,299
70040H,Deansrath Community College,Westbourne Rise,Clondalkin,Dublin 22,,Dublin,South Dublin County Council,D22RY77,Helen Taylor,info@deansrathcc.ie,14574144,Y,N,N,N,Day,Mixed,No subjects taught through Irish,Vocational,INTER DENOMINATIONAL,134,164,298
70041J,Collinstown Park Community College,Neilstown Rd.,Rowlagh,Clondalkin,Dublin 22,Dublin,South Dublin County Council,D22X458,Ms Pauline Duffy,collinstown@collinstownpark.ie,14572300,Y,N,N,N,Day,Mixed,No subjects taught through Irish,Vocational,INTER DENOMINATIONAL,266,303,569
70042L,St. Kevin's Community College,Fonthill Road,Clondalkin,Dublin 22,,Dublin,South Dublin County Council,D22K314,Tony Barry,stkevinscc@ddletb.ie,16266277,Y,N,N,N,Day,Mixed,No subjects taught through Irish,Vocational,INTER DENOMINATIONAL,160,213,373
70080T,Lucan Community College,Esker Drive,Lucan,Co Dublin,,Dublin,South Dublin County Council,K78TF67,Diane Birnie,admin@lucancc.ie,16282077,N,N,N,N,Day,Mixed,No subjects taught through Irish,Vocational,MULTI DENOMINATIONAL,403,519,922
70081V,Colaiste Ghleann na hAbhann,Riversdale Community College,Blanchardstown Road North,Dublin 15,,Dublin,Fingal County Council,D15P380,Bernadette MacLoughlin,rcc@ddletb.ie,18201488,Y,N,N,N,Day,Mixed,No subjects taught through Irish,Vocational,INTER DENOMINATIONAL,104,148,252
70100W,Coláiste Chilliain,Bóthar Nangor,Cluain Dolcáin,Baile Atha Cliath 22,,Dublin,South Dublin County Council,D22EW08,Feargal Ó Giolláin,eolas@colaistechilliain.ie,14574888,N,N,N,N,Day,Mixed,All pupils taught all subjects through Irish,Vocational,MULTI DENOMINATIONAL,182,233,415
70120F,St Finians Community College,Castlefarm,Swords,Co Dublin,,Dublin,Fingal County Council,K67YN93,Ms. Patricia Knightly,stfinians@ddletb.ie,18402623,Y,N,N,N,Day,Mixed,No subjects taught through Irish,Vocational,MULTI DENOMINATIONAL,339,308,647
70121H,Fingal Community College,Seatown Road,Swords,Co Dublin,,Dublin,Fingal County Council,K67E330,Mrs Sharon McGrath,smcgrath@fingalcc.ie,18405829,N,N,N,N,Day,Mixed,No subjects taught through Irish,Vocational,INTER DENOMINATIONAL,402,452,854
70130I,Greenhills College,Limekiln Avenue,Greenhills,Dublin 12,,Dublin,South Dublin County Council,D12DP8W,Ann Bray,admin@greenhillscollege.ie,14507779,Y,N,N,N,Day,Mixed,No subjects taught through Irish,Vocational,MULTI DENOMINATIONAL,,137,137
70140L,Firhouse Community College,Firhouse Road,Dublin 24,,,Dublin,South Dublin County Council,D24HY03,Senan Nolan,firhousecc@ddletb.ie,14525807,N,N,N,N,Day,Mixed,No subjects taught through Irish,Vocational,INTER DENOMINATIONAL,359,450,809
70141N,Mount Seskin Community College,Jobstown,Tallaght,Dublin 24,,Dublin,South Dublin County Council,D24K033,Austin Flannery (Oct Rets 2017),belindamelvin@ddletb.ie,14525788,Y,N,N,N,Day,Mixed,No subjects taught through Irish,Vocational,INTER DENOMINATIONAL,157,168,325
70150O,Cabra Community College,Kilkieran Road,Cabra,Dublin 7,,Dublin,Dublin City Council,D07XC84,Mr Neil Flatherty,info@cabracc.cdetb.ie,18389577,Y,N,N,N,Day,Mixed,No subjects taught through Irish,Vocational,MULTI DENOMINATIONAL,46,85,131
70160R,Clogher Road Community College,Clogher Road,Crumlin,Dublin 12,,Dublin,Dublin City Council,D12YP11,Lesley Byrne,info@stkevins.cdetb.ie,14536397,Y,N,N,N,Day,Mixed,No subjects taught through Irish,Vocational,MULTI DENOMINATIONAL,56,148,204
70180A,Coláiste Eoin,Cappagh Road,Finglas West,Dublin 11,,Dublin,Dublin City Council,D11AY65,Paula O'Brien,info@eoin.cdetb.ie,18341426,Y,N,N,N,Day,Mixed,No subjects taught through Irish,Vocational,MULTI DENOMINATIONAL,73,107,180
70200D,Ringsend College,Cambridge Road,Ringsend,Dublin 4,,Dublin,Dublin City Council,D04N227,Ms Pauline Queally,info@ringsend.cdetb.ie,16684498,Y,N,N,N,Day,Mixed,No subjects taught through Irish,Vocational,MULTI DENOMINATIONAL,111,78,189
70240P,Kylemore College,Kylemore Road,Ballyfermot,Dublin 10,,Dublin,Dublin City Council,D10RY73,Ms Deirdre Nolan,info@kylemore.cdetb.ie,16265901,Y,N,N,N,Day,Mixed,No subjects taught through Irish,Vocational,MULTI DENOMINATIONAL,130,264,394
70250S,Marino College,14-20 Marino Mart,Fairview,Dublin 3,,Dublin,Dublin City Council,D03DR72,Mary McAleer,mary.molloy@marino.cdetb.ie,18332100,Y,N,N,N,Day,Mixed,No subjects taught through Irish,Vocational,MULTI DENOMINATIONAL,143,102,245
70260V,St Mac Dara's Community College,St. Mac Dara's Community College,Wellington Lane,Templeogue,Dublin 6W,Dublin,South Dublin County Council,D6WEW83,Mr Paul Kingston,stmacdaras@ddletb.ie,14566216,N,N,N,N,Day,Mixed,No subjects taught through Irish,Vocational,INTER DENOMINATIONAL,376,477,853
70280E,Rathmines College,Town Hall,Rathmines,Dublin 6,,Dublin,South Dublin County Council,D06A215,Ms Bernadette Moore,info@rc.cdetb.ie,14975334,N,N,N,N,Day,Mixed,No subjects taught through Irish,Vocational,MULTI DENOMINATIONAL,59,44,103
70300H,Pearse College - Colaiste an Phiarsaigh,Clogher Road,Crumlin,Dublin 12,,Dublin,Dublin City Council,D12CR22,Patricia O'Keeffe,information@pearse.cdetb.ie,14536661,N,N,N,N,Day,Mixed,No subjects taught through Irish,Vocational,INTER DENOMINATIONAL,43,63,106
70310K,Plunket College,Swords Road,Whitehall,Dublin 9,,Dublin,Dublin City Council,D09C94K,Adrian Delaney,info@plunket.cdetb.ie,18371689,Y,N,N,N,Day,Mixed,No subjects taught through Irish,Vocational,MULTI DENOMINATIONAL,43,40,83
70321P,Margaret Aylward Community College,The Thatch Road,Whitehall,Dublin 9,,Dublin,Dublin City Council,D09RHN3,Sinéad Dunne,info@macc.cdetb.ie,18375712,Y,N,N,N,Day,Girls,No subjects taught through Irish,Vocational,MULTI DENOMINATIONAL,146,0,146
70330Q,Coláiste Dhúlaigh,Barryscourt Road,Coolock,Dublin 17,,Dublin,Dublin City Council,D17KH66,Mr Neil Dunphy,info@cdc.cdetb.ie,18481337,Y,N,N,N,Day,Mixed,No subjects taught through Irish,Vocational,MULTI DENOMINATIONAL,74,81,155
76062B,Castleknock Community College,Carpenterstown Road,Castleknock,Dublin 15,,Dublin,Fingal County Council,D15A996,John Cronin,admin@castleknockcc.ie,18221626,N,N,N,N,Day,Mixed,No subjects taught through Irish,Vocational,INTER DENOMINATIONAL,581,582,"1,163"
76065H,Coláiste Cois Life,Gleann an Ghrífín,Leamhcán,Co Átha Cliath,,Dublin,South Dublin County Council,K78Y330,Tomás Ó Donnagáin,eolas@colaistecoislife.ie,16211825,N,N,N,N,Day,Mixed,All pupils taught all subjects through Irish,Vocational,MULTI DENOMINATIONAL,446,361,807
76077O,Larkin Community College,Champions Avenue,Dublin 1,,,Dublin,Dublin City Council,D01WD93,Thomas Usher,janet.rooney@lcc.cdetb.ie,18742363,Y,N,N,N,Day,Mixed,No subjects taught through Irish,Vocational,INTER DENOMINATIONAL,195,197,392
76078Q,Skerries Community College,Skerries,Co. Dublin,,,Dublin,Fingal County Council,K34HH29,Kevin Mc Laughlin,info@skerriescc.ie,18490011,N,N,N,N,Day,Mixed,No subjects taught through Irish,Vocational,INTER DENOMINATIONAL,424,551,975
76085N,Gaelcholáiste Reachrann,Bóthar Mhainistir na Gráinsí,Domhnach Míde,Baile Atha Cliath 13,,Dublin,Fingal County Council,D13NP52,Máire Ní Ghealbháin,oifig@gcreachrann.ie,18770935,N,N,N,N,Day,Mixed,All pupils taught all subjects through Irish,Vocational,INTER DENOMINATIONAL,236,207,443
76092K,PRESENTATION COMMUNITY COLLEGE,TERENURE,DUBLIN 6,,,Dublin,Dublin City Council,D6WCP28,Mr Darrell Darcy,info@pct.cdetb.ie,14902404,N,N,N,N,Day,Mixed,No subjects taught through Irish,Vocational,CATHOLIC,265,86,351
76097U,ADAMSTOWN COMMUNITY COLLEGE,Station Rd,Adamstown,Lucan,Co. Dublin,Dublin,South Dublin County Council,K78WP89,Mr Dave Anderson,info.adamstowncc@ddletb.ie,16540348,N,N,N,N,Day,Mixed,No subjects taught through Irish,Vocational,MULTI DENOMINATIONAL,406,505,911
76098W,Coláiste Pobail Setanta,Colaiste Pobail Setanta,Phibblestown,Clonee,Dublin 15,Dublin,Fingal County Council,D15EY17,Liam Walsh,admin@cpsetanta.ie,16402403,N,N,N,N,Day,Mixed,No subjects taught through Irish,Vocational,MULTI DENOMINATIONAL,527,526,"1,053"
76104O,Donabate Community College,"Portrane Road,",Donabate,Co Dublin,,Dublin,Fingal County Council,K36F598,Anthony Creevey,info@donabatecc.ie,18436726,N,N,N,N,Day,Mixed,No subjects taught through Irish,Vocational,MULTI DENOMINATIONAL,343,419,762
76129H,Ardgillan Community College,Castlelands,Balbriggan,,Co Dublin,Dublin,Fingal County Council,K32KK33,Nuala Ni Mhurchu,info@ardgillancc.ie,19680734,N,N,N,N,Day,Mixed,No subjects taught through Irish,Vocational,MULTI DENOMINATIONAL,337,616,953
76130P,Luttrellstown Community College,Luttrellstown Community College,Porterstown Road,Clonsilla,Dublin 15,Dublin,Fingal County Council,D15DY29,Fionnuala Ní Chaisil,info.luttrellstowncc@ddletb.ie,18228060,N,N,N,N,Day,Mixed,No subjects taught through Irish,Vocational,MULTI DENOMINATIONAL,413,480,893
76152C,Kishoge Community College,Thomas Omer Way,Lucan,,,Dublin,South Dublin County Council,K78DC89,Niall Hare,reception@kishogecc.ie,16877482,N,N,N,N,Day,Mixed,No subjects taught through Irish,Vocational,MULTI DENOMINATIONAL,411,428,839
76213T,Lusk Community College,Raheny Lane,Rathmore Road,Lusk,Co. Dublin,Dublin,Fingal County Council,K45WN50,Pat Cole,patrickcole@luskcc.ie,15130000,N,N,N,N,Day,Mixed,No subjects taught through Irish,Vocational,MULTI DENOMINATIONAL,321,364,685
76293U,Kingswood Community College,Ballymount Road,Kingswood Heights,Tallaght,Dublin 24,Dublin,South Dublin County Council,D24X2FP,Deborah Dunne,info@kingswoodcc.ie,01 4517793,N,N,N,U,,Mixed,No subjects taught through Irish,Vocational,MULTI DENOMINATIONAL,240,282,522
76394D,Clonturk College,Swords Road,Whitehall,Dublin 9,,Dublin,Dublin City Council,D09W5K6,Ms. Wesleigh O'Hagan,info@clonturkcc.cdetb.ie,15596960,N,N,N,U,,Mixed,No subjects taught through Irish,Vocational,MULTI DENOMINATIONAL,153,190,343
76454S,Griffeen Community College,c/o Kishogue Community College,Thomas Omar Way,Lucan,Co. Dublin,Dublin,South Dublin County Council,K78DC89,Rachel McGrath,rachelmcgrath@griffeencc.ie,16212392,N,N,N,N,Day,Mixed,No subjects taught through Irish,Vocational,MULTI DENOMINATIONAL,48,90,138
76475D,Swords Community College,Jugback Lane,Swords,,,Dublin,Fingal County Council,K67YN93,Mark McDonald,info@swordscc.ie,01 22 33 067,N,N,N,N,Day,Mixed,No subjects taught through Irish,Vocational,MULTI DENOMINATIONAL,68,98,166
81001I,Newpark Comprehensive School,Newtown Park Avenue,Blackrock,Co Dublin,,Dublin,Dun Laoghaire Rathdown,A94EV70,MR. EOIN NORTON,office@newparkschool.ie,12883724,N,N,N,N,Day,Mixed,No subjects taught through Irish,Comprehensive,CHURCH OF IRELAND,405,456,861
81002K,Mount Temple Comprehensive School,Malahide Road,Dublin 3,,,Dublin,Dublin City Council,D03DX79,MR. LIAM C WEGIMONT,office@mounttemple.ie,18336984,N,N,N,N,Day,Mixed,No subjects taught through Irish,Comprehensive,CHURCH OF IRELAND,443,446,889
81017A,TRINITY COMPREHENSIVE SCHOOL,BALLYMUN ROAD,DUBLIN 9,,,Dublin,Dublin City Council,D09TN22,MS. FRANCES L NEARY,info@trinitycomp.ie,18428356,Y,N,N,N,Day,Mixed,No subjects taught through Irish,Comprehensive,CATHOLIC,200,292,492
91301D,Holy Family Community School,Kilteel Road,Rathcoole,Co Dublin,,Dublin,South Dublin County Council,D24FT54,MISS BRENDA KELLY,info@hfcs.ie,14580766,N,N,N,N,Day,Mixed,No subjects taught through Irish,Community,INTER DENOMINATIONAL,441,522,963
91302F,Phobailscoil Iosolde,Palmerstown,Dublin 20,,,Dublin,South Dublin County Council,D20P236,MS. LORRAINE O'TOOLE,office@palmerstowncs.ie,16265991,Y,N,N,N,Day,Mixed,No subjects taught through Irish,Community,INTER DENOMINATIONAL,317,449,766
91305L,Ballinteer Community School,Broadford Road,Ballinteer,Dublin 16,,Dublin,Dun Laoghaire Rathdown,D16XF79,MR. DAVID O'CONNELL,admin@ballinteercs.ie,12988195,Y,N,N,N,Day,Mixed,No subjects taught through Irish,Community,INTER DENOMINATIONAL,164,243,407
91310E,Cabinteely Community School,Johnstown Road,Cabinteely,Dublin 18,,Dublin,Dun Laoghaire Rathdown,D18VH73,CLARE GARRIHY,office@cabinteelycs.ie,12852137,Y,N,N,N,Day,Mixed,No subjects taught through Irish,Community,INTER DENOMINATIONAL,195,261,456
91315O,Scoil Phobail Chuil Mhin,Cluain Saileach,Baile Atha Cliath 15,,,Dublin,Fingal County Council,D15FW97,MISS PATRICIA MC PHILLIPS,principal@coolminecs.ie,18214141,N,N,N,N,Day,Mixed,No subjects taught through Irish,Community,INTER DENOMINATIONAL,463,561,"1,024"
91316Q,Blakestown Community School,Sheepmoor Avenue,Blanchardstown,Dublin 15,,Dublin,Fingal County Council,D15F978,MR. FRANCIS MILLING,admin@blakestowncs.ie,18215522,Y,N,N,N,Day,Mixed,No subjects taught through Irish,Community,INTER DENOMINATIONAL,241,189,430
91318U,The Donahies Community School,Streamville Road,Dublin 13,,,Dublin,Dublin City Council,D13YN77,MR. PETER KEOHANE,office@donahiescs.ie,18473522,Y,N,N,N,Day,Mixed,No subjects taught through Irish,Community,INTER DENOMINATIONAL,224,243,467
91324P,Portmarnock Community School,Carrickhill Road,Portmarnock,Co Dublin,,Dublin,Fingal County Council,D13F766,MS. EITHNE DEENEY,office@portmarnockcommunityschool.ie,18038056,N,N,N,N,Day,Mixed,No subjects taught through Irish,Community,INTER DENOMINATIONAL,408,520,928
91325R,Malahide Community School,Broomfield,Malahide,Co. Dublin,,Dublin,Fingal County Council,K36PR28,MR. DAVID HAYES,office@malahidecs.ie,18463244,N,N,N,N,Day,Mixed,No subjects taught through Irish,Community,INTER DENOMINATIONAL,614,605,"1,219"
91330K,Holy Child Community School,Pearse St,Sallynoggin,Co Dublin,,Dublin,Dun Laoghaire Rathdown,A96E0C9,MS. VALERIE MAHER,office@holychildcs.ie,12855334,Y,N,N,N,Day,Mixed,No subjects taught through Irish,Community,INTER DENOMINATIONAL,124,122,246
91332O,St Marks Community School,Cookstown Rd,Tallaght,Dublin 24,,Dublin,South Dublin County Council,D24VW22,MISS EITHNE COYNE,office@stmarkcs.ie,14519399,Y,N,N,N,Day,Mixed,No subjects taught through Irish,Community,INTER DENOMINATIONAL,420,414,834
91335U,Tallaght Community School,Balrothery,Tallaght,Dublin 24,,Dublin,South Dublin County Council,D24X759,MR. AIDAN LYNCH,office@tallaghtcs.ie,14515566,Y,N,N,N,Day,Mixed,No subjects taught through Irish,Community,INTER DENOMINATIONAL,348,417,765
91336W,Old Bawn Community School,Old Bawn,Tallaght,Dublin 24,,Dublin,South Dublin County Council,D24HP38,MS. URSULA MCCABE,obcsdays@eircom.net,14520566,N,N,N,N,Day,Mixed,No subjects taught through Irish,Community,INTER DENOMINATIONAL,449,469,918
91337B,Killinarden Community School,Killinarden,Tallaght,Dublin 24,,Dublin,South Dublin County Council,D24RF70,MISS ADRIENNE WHELAN,mainoffice@killinardencs.ie,14527447,Y,N,N,N,Day,Mixed,No subjects taught through Irish,Community,INTER DENOMINATIONAL,244,242,486
91338D,St Aidan's Community School,Brookfield,Tallaght,Dublin 24,,Dublin,South Dublin County Council,D24XA46,MRS. KAREN QUIGLEY,office@sacs.ie,14524677,Y,N,N,N,Day,Mixed,No subjects taught through Irish,Community,INTER DENOMINATIONAL,207,231,438
91339F,Hartstown Community School,Hartstown,Clonsilla,Dublin 15,,Dublin,Fingal County Council,D15X049,MS. LUCIA GRIFFIN,info@hartstowncs.com,18207863,N,N,N,N,Day,Mixed,No subjects taught through Irish,Community,INTER DENOMINATIONAL,535,595,"1,130"
91342R,Pobalscoil Neasáin,Baldoyle,Dublin 13,,,Dublin,Fingal County Council,D13F9K2,MR. PATRICK MCKENNA,office@psn.ie,18063092,N,N,N,N,Day,Mixed,No subjects taught through Irish,Community,INTER DENOMINATIONAL,306,468,774
91343T,St. Tiernan's Community School,Parkvale,Balally,Dublin 16,,Dublin,Dun Laoghaire Rathdown,D16KW26,MR. DECLAN HUGHES,runai@tiernans.ie,12953224,Y,N,N,N,Day,Mixed,No subjects taught through Irish,Community,INTER DENOMINATIONAL,160,185,345
91344V,Rosmini Community School,All Hallows College Campus DCU,Gracepark Road,Dublin 9,,Dublin,Dublin City Council,,MR. DARRELL DARCY,info@rosmini.ie,086 0122104,Y,N,N,N,Day,Mixed,No subjects taught through Irish,Community,INTER DENOMINATIONAL,37,83,120
91510M,St. Colmcille's Community School,Scholarstown Rd,Knocklyon,Dublin 16,,Dublin,South Dublin County Council,D16H298,MR. JOHN MC KENNEDY,info@stcolmcilles.ie,14952888,N,N,N,N,Day,Mixed,No subjects taught through Irish,Community,INTER DENOMINATIONAL,347,383,730
