"Statistic","Year","Garda Station","Type of Offence","UNIT","VALUE"
"Recorded Crime Offences Under Reservation","2017","66203 Rathcoole, D.M.R. Western Division","Offences against government, justice procedures and organisation of crime","Number","6"
"Recorded Crime Offences Under Reservation","2017","64201 Rathfarnham, D.M.R. Southern Division","Attempts/threats to murder, assaults, harassments and related offences","Number","120"
"Recorded Crime Offences Under Reservation","2017","64201 Rathfarnham, D.M.R. Southern Division","Dangerous or negligent acts","Number","28"
"Recorded Crime Offences Under Reservation","2017","64201 Rathfarnham, D.M.R. Southern Division","Kidnapping and related offences","Number","0"
"Recorded Crime Offences Under Reservation","2017","64201 Rathfarnham, D.M.R. Southern Division","Robbery, extortion and hijacking offences","Number","22"
"Recorded Crime Offences Under Reservation","2017","64201 Rathfarnham, D.M.R. Southern Division","Burglary and related offences","Number","322"
"Recorded Crime Offences Under Reservation","2017","64201 Rathfarnham, D.M.R. Southern Division","Theft and related offences","Number","716"
"Recorded Crime Offences Under Reservation","2017","64201 Rathfarnham, D.M.R. Southern Division","Fraud, deception and related offences","Number","47"
"Recorded Crime Offences Under Reservation","2017","64201 Rathfarnham, D.M.R. Southern Division","Controlled drug offences","Number","211"
"Recorded Crime Offences Under Reservation","2017","64201 Rathfarnham, D.M.R. Southern Division","Weapons and Explosives Offences","Number","21"
"Recorded Crime Offences Under Reservation","2017","64201 Rathfarnham, D.M.R. Southern Division","Damage to property and to the environment","Number","190"
"Recorded Crime Offences Under Reservation","2017","64201 Rathfarnham, D.M.R. Southern Division","Public order and other social code offences","Number","152"
"Recorded Crime Offences Under Reservation","2017","64201 Rathfarnham, D.M.R. Southern Division","Offences against government, justice procedures and organisation of crime","Number","25"
"Recorded Crime Offences Under Reservation","2017","64301 Rathmines, D.M.R. Southern Division","Attempts/threats to murder, assaults, harassments and related offences","Number","82"
"Recorded Crime Offences Under Reservation","2017","64301 Rathmines, D.M.R. Southern Division","Dangerous or negligent acts","Number","24"
"Recorded Crime Offences Under Reservation","2017","64301 Rathmines, D.M.R. Southern Division","Kidnapping and related offences","Number","2"
"Recorded Crime Offences Under Reservation","2017","64301 Rathmines, D.M.R. Southern Division","Robbery, extortion and hijacking offences","Number","21"
"Recorded Crime Offences Under Reservation","2017","64301 Rathmines, D.M.R. Southern Division","Burglary and related offences","Number","162"
"Recorded Crime Offences Under Reservation","2017","64301 Rathmines, D.M.R. Southern Division","Theft and related offences","Number","627"
"Recorded Crime Offences Under Reservation","2017","64301 Rathmines, D.M.R. Southern Division","Fraud, deception and related offences","Number","49"
"Recorded Crime Offences Under Reservation","2017","64301 Rathmines, D.M.R. Southern Division","Controlled drug offences","Number","77"
"Recorded Crime Offences Under Reservation","2017","64301 Rathmines, D.M.R. Southern Division","Weapons and Explosives Offences","Number","8"
"Recorded Crime Offences Under Reservation","2017","64301 Rathmines, D.M.R. Southern Division","Damage to property and to the environment","Number","197"
"Recorded Crime Offences Under Reservation","2017","64301 Rathmines, D.M.R. Southern Division","Public order and other social code offences","Number","173"
"Recorded Crime Offences Under Reservation","2017","64301 Rathmines, D.M.R. Southern Division","Offences against government, justice procedures and organisation of crime","Number","14"
"Recorded Crime Offences Under Reservation","2017","66302 Ronanstown, D.M.R. Western Division","Attempts/threats to murder, assaults, harassments and related offences","Number","186"
"Recorded Crime Offences Under Reservation","2017","66302 Ronanstown, D.M.R. Western Division","Dangerous or negligent acts","Number","64"
"Recorded Crime Offences Under Reservation","2017","66302 Ronanstown, D.M.R. Western Division","Kidnapping and related offences","Number","0"
"Recorded Crime Offences Under Reservation","2017","66302 Ronanstown, D.M.R. Western Division","Robbery, extortion and hijacking offences","Number","31"
"Recorded Crime Offences Under Reservation","2017","66302 Ronanstown, D.M.R. Western Division","Burglary and related offences","Number","145"
"Recorded Crime Offences Under Reservation","2017","66302 Ronanstown, D.M.R. Western Division","Theft and related offences","Number","971"
"Recorded Crime Offences Under Reservation","2017","66302 Ronanstown, D.M.R. Western Division","Fraud, deception and related offences","Number","50"
"Recorded Crime Offences Under Reservation","2017","66302 Ronanstown, D.M.R. Western Division","Controlled drug offences","Number","351"
"Recorded Crime Offences Under Reservation","2017","66302 Ronanstown, D.M.R. Western Division","Weapons and Explosives Offences","Number","33"
"Recorded Crime Offences Under Reservation","2017","66302 Ronanstown, D.M.R. Western Division","Damage to property and to the environment","Number","263"
"Recorded Crime Offences Under Reservation","2017","66302 Ronanstown, D.M.R. Western Division","Public order and other social code offences","Number","157"
"Recorded Crime Offences Under Reservation","2017","66302 Ronanstown, D.M.R. Western Division","Offences against government, justice procedures and organisation of crime","Number","125"
"Recorded Crime Offences Under Reservation","2017","63203 Santry, D.M.R. Northern Division","Attempts/threats to murder, assaults, harassments and related offences","Number","134"
"Recorded Crime Offences Under Reservation","2017","63203 Santry, D.M.R. Northern Division","Dangerous or negligent acts","Number","34"
"Recorded Crime Offences Under Reservation","2017","63203 Santry, D.M.R. Northern Division","Kidnapping and related offences","Number","1"
"Recorded Crime Offences Under Reservation","2017","63203 Santry, D.M.R. Northern Division","Robbery, extortion and hijacking offences","Number","52"
"Recorded Crime Offences Under Reservation","2017","63203 Santry, D.M.R. Northern Division","Burglary and related offences","Number","262"
"Recorded Crime Offences Under Reservation","2017","63203 Santry, D.M.R. Northern Division","Theft and related offences","Number","1041"
"Recorded Crime Offences Under Reservation","2017","63203 Santry, D.M.R. Northern Division","Fraud, deception and related offences","Number","34"
"Recorded Crime Offences Under Reservation","2017","63203 Santry, D.M.R. Northern Division","Controlled drug offences","Number","60"
"Recorded Crime Offences Under Reservation","2017","63203 Santry, D.M.R. Northern Division","Weapons and Explosives Offences","Number","17"
"Recorded Crime Offences Under Reservation","2017","63203 Santry, D.M.R. Northern Division","Damage to property and to the environment","Number","217"
"Recorded Crime Offences Under Reservation","2017","63203 Santry, D.M.R. Northern Division","Public order and other social code offences","Number","105"
"Recorded Crime Offences Under Reservation","2017","63203 Santry, D.M.R. Northern Division","Offences against government, justice procedures and organisation of crime","Number","23"
"Recorded Crime Offences Under Reservation","2017","65205 Shankill, D.M.R. Eastern Division","Attempts/threats to murder, assaults, harassments and related offences","Number","79"
"Recorded Crime Offences Under Reservation","2017","65205 Shankill, D.M.R. Eastern Division","Dangerous or negligent acts","Number","36"
"Recorded Crime Offences Under Reservation","2017","65205 Shankill, D.M.R. Eastern Division","Kidnapping and related offences","Number","0"
"Recorded Crime Offences Under Reservation","2017","65205 Shankill, D.M.R. Eastern Division","Robbery, extortion and hijacking offences","Number","6"
"Recorded Crime Offences Under Reservation","2017","65205 Shankill, D.M.R. Eastern Division","Burglary and related offences","Number","161"
"Recorded Crime Offences Under Reservation","2017","65205 Shankill, D.M.R. Eastern Division","Theft and related offences","Number","315"
"Recorded Crime Offences Under Reservation","2017","65205 Shankill, D.M.R. Eastern Division","Fraud, deception and related offences","Number","12"
"Recorded Crime Offences Under Reservation","2017","65205 Shankill, D.M.R. Eastern Division","Controlled drug offences","Number","79"
"Recorded Crime Offences Under Reservation","2017","65205 Shankill, D.M.R. Eastern Division","Weapons and Explosives Offences","Number","14"
"Recorded Crime Offences Under Reservation","2017","65205 Shankill, D.M.R. Eastern Division","Damage to property and to the environment","Number","155"
"Recorded Crime Offences Under Reservation","2017","65205 Shankill, D.M.R. Eastern Division","Public order and other social code offences","Number","93"
"Recorded Crime Offences Under Reservation","2017","65205 Shankill, D.M.R. Eastern Division","Offences against government, justice procedures and organisation of crime","Number","21"
"Recorded Crime Offences Under Reservation","2017","63105 Skerries, D.M.R. Northern Division","Attempts/threats to murder, assaults, harassments and related offences","Number","28"
"Recorded Crime Offences Under Reservation","2017","63105 Skerries, D.M.R. Northern Division","Dangerous or negligent acts","Number","8"
"Recorded Crime Offences Under Reservation","2017","63105 Skerries, D.M.R. Northern Division","Kidnapping and related offences","Number","0"
"Recorded Crime Offences Under Reservation","2017","63105 Skerries, D.M.R. Northern Division","Robbery, extortion and hijacking offences","Number","4"
"Recorded Crime Offences Under Reservation","2017","63105 Skerries, D.M.R. Northern Division","Burglary and related offences","Number","52"
"Recorded Crime Offences Under Reservation","2017","63105 Skerries, D.M.R. Northern Division","Theft and related offences","Number","59"
"Recorded Crime Offences Under Reservation","2017","63105 Skerries, D.M.R. Northern Division","Fraud, deception and related offences","Number","3"
"Recorded Crime Offences Under Reservation","2017","63105 Skerries, D.M.R. Northern Division","Controlled drug offences","Number","4"
"Recorded Crime Offences Under Reservation","2017","63105 Skerries, D.M.R. Northern Division","Weapons and Explosives Offences","Number","2"
"Recorded Crime Offences Under Reservation","2017","63105 Skerries, D.M.R. Northern Division","Damage to property and to the environment","Number","35"
"Recorded Crime Offences Under Reservation","2017","63105 Skerries, D.M.R. Northern Division","Public order and other social code offences","Number","15"
"Recorded Crime Offences Under Reservation","2017","63105 Skerries, D.M.R. Northern Division","Offences against government, justice procedures and organisation of crime","Number","2"
"Recorded Crime Offences Under Reservation","2017","62301 Store Street, D.M.R. North Central Division","Attempts/threats to murder, assaults, harassments and related offences","Number","495"
"Recorded Crime Offences Under Reservation","2017","62301 Store Street, D.M.R. North Central Division","Dangerous or negligent acts","Number","88"
"Recorded Crime Offences Under Reservation","2017","62301 Store Street, D.M.R. North Central Division","Kidnapping and related offences","Number","5"
"Recorded Crime Offences Under Reservation","2017","62301 Store Street, D.M.R. North Central Division","Robbery, extortion and hijacking offences","Number","88"
"Recorded Crime Offences Under Reservation","2017","62301 Store Street, D.M.R. North Central Division","Burglary and related offences","Number","256"
"Recorded Crime Offences Under Reservation","2017","62301 Store Street, D.M.R. North Central Division","Theft and related offences","Number","5276"
"Recorded Crime Offences Under Reservation","2017","62301 Store Street, D.M.R. North Central Division","Fraud, deception and related offences","Number","298"
"Recorded Crime Offences Under Reservation","2017","62301 Store Street, D.M.R. North Central Division","Controlled drug offences","Number","591"
"Recorded Crime Offences Under Reservation","2017","62301 Store Street, D.M.R. North Central Division","Weapons and Explosives Offences","Number","112"
"Recorded Crime Offences Under Reservation","2017","62301 Store Street, D.M.R. North Central Division","Damage to property and to the environment","Number","444"
"Recorded Crime Offences Under Reservation","2017","62301 Store Street, D.M.R. North Central Division","Public order and other social code offences","Number","2044"
"Recorded Crime Offences Under Reservation","2017","62301 Store Street, D.M.R. North Central Division","Offences against government, justice procedures and organisation of crime","Number","39"
"Recorded Crime Offences Under Reservation","2017","64102 Sundrive Road, D.M.R. Southern Division","Attempts/threats to murder, assaults, harassments and related offences","Number","83"
"Recorded Crime Offences Under Reservation","2017","64102 Sundrive Road, D.M.R. Southern Division","Dangerous or negligent acts","Number","45"
"Recorded Crime Offences Under Reservation","2017","64102 Sundrive Road, D.M.R. Southern Division","Kidnapping and related offences","Number","1"
"Recorded Crime Offences Under Reservation","2017","64102 Sundrive Road, D.M.R. Southern Division","Robbery, extortion and hijacking offences","Number","16"
"Recorded Crime Offences Under Reservation","2017","64102 Sundrive Road, D.M.R. Southern Division","Burglary and related offences","Number","146"
"Recorded Crime Offences Under Reservation","2017","64102 Sundrive Road, D.M.R. Southern Division","Theft and related offences","Number","291"
"Recorded Crime Offences Under Reservation","2017","64102 Sundrive Road, D.M.R. Southern Division","Fraud, deception and related offences","Number","32"
"Recorded Crime Offences Under Reservation","2017","64102 Sundrive Road, D.M.R. Southern Division","Controlled drug offences","Number","134"
"Recorded Crime Offences Under Reservation","2017","64102 Sundrive Road, D.M.R. Southern Division","Weapons and Explosives Offences","Number","19"
"Recorded Crime Offences Under Reservation","2017","64102 Sundrive Road, D.M.R. Southern Division","Damage to property and to the environment","Number","159"
"Recorded Crime Offences Under Reservation","2017","64102 Sundrive Road, D.M.R. Southern Division","Public order and other social code offences","Number","119"
"Recorded Crime Offences Under Reservation","2017","64102 Sundrive Road, D.M.R. Southern Division","Offences against government, justice procedures and organisation of crime","Number","24"
"Recorded Crime Offences Under Reservation","2017","63303 Swords, D.M.R. Northern Division","Attempts/threats to murder, assaults, harassments and related offences","Number","188"
"Recorded Crime Offences Under Reservation","2017","63303 Swords, D.M.R. Northern Division","Dangerous or negligent acts","Number","77"
"Recorded Crime Offences Under Reservation","2017","63303 Swords, D.M.R. Northern Division","Kidnapping and related offences","Number","4"
"Recorded Crime Offences Under Reservation","2017","63303 Swords, D.M.R. Northern Division","Robbery, extortion and hijacking offences","Number","25"
"Recorded Crime Offences Under Reservation","2017","63303 Swords, D.M.R. Northern Division","Burglary and related offences","Number","187"
"Recorded Crime Offences Under Reservation","2017","63303 Swords, D.M.R. Northern Division","Theft and related offences","Number","876"
"Recorded Crime Offences Under Reservation","2017","63303 Swords, D.M.R. Northern Division","Fraud, deception and related offences","Number","41"
"Recorded Crime Offences Under Reservation","2017","63303 Swords, D.M.R. Northern Division","Controlled drug offences","Number","131"
"Recorded Crime Offences Under Reservation","2017","63303 Swords, D.M.R. Northern Division","Weapons and Explosives Offences","Number","20"
"Recorded Crime Offences Under Reservation","2017","63303 Swords, D.M.R. Northern Division","Damage to property and to the environment","Number","218"
"Recorded Crime Offences Under Reservation","2017","63303 Swords, D.M.R. Northern Division","Public order and other social code offences","Number","270"
"Recorded Crime Offences Under Reservation","2017","63303 Swords, D.M.R. Northern Division","Offences against government, justice procedures and organisation of crime","Number","183"
"Recorded Crime Offences Under Reservation","2017","64202 Tallaght, D.M.R. Southern Division","Attempts/threats to murder, assaults, harassments and related offences","Number","360"
"Recorded Crime Offences Under Reservation","2017","64202 Tallaght, D.M.R. Southern Division","Dangerous or negligent acts","Number","140"
"Recorded Crime Offences Under Reservation","2017","64202 Tallaght, D.M.R. Southern Division","Kidnapping and related offences","Number","4"
"Recorded Crime Offences Under Reservation","2017","64202 Tallaght, D.M.R. Southern Division","Robbery, extortion and hijacking offences","Number","134"
"Recorded Crime Offences Under Reservation","2017","64202 Tallaght, D.M.R. Southern Division","Burglary and related offences","Number","382"
"Recorded Crime Offences Under Reservation","2017","64202 Tallaght, D.M.R. Southern Division","Theft and related offences","Number","1586"
"Recorded Crime Offences Under Reservation","2017","64202 Tallaght, D.M.R. Southern Division","Fraud, deception and related offences","Number","126"
"Recorded Crime Offences Under Reservation","2017","64202 Tallaght, D.M.R. Southern Division","Controlled drug offences","Number","454"
"Recorded Crime Offences Under Reservation","2017","64202 Tallaght, D.M.R. Southern Division","Weapons and Explosives Offences","Number","61"
"Recorded Crime Offences Under Reservation","2017","64202 Tallaght, D.M.R. Southern Division","Damage to property and to the environment","Number","799"
"Recorded Crime Offences Under Reservation","2017","64202 Tallaght, D.M.R. Southern Division","Public order and other social code offences","Number","468"
"Recorded Crime Offences Under Reservation","2017","64202 Tallaght, D.M.R. Southern Division","Offences against government, justice procedures and organisation of crime","Number","346"
"Recorded Crime Offences Under Reservation","2017","64302 Terenure, D.M.R. Southern Division","Attempts/threats to murder, assaults, harassments and related offences","Number","55"
"Recorded Crime Offences Under Reservation","2017","64302 Terenure, D.M.R. Southern Division","Dangerous or negligent acts","Number","25"
"Recorded Crime Offences Under Reservation","2017","64302 Terenure, D.M.R. Southern Division","Kidnapping and related offences","Number","2"
"Recorded Crime Offences Under Reservation","2017","64302 Terenure, D.M.R. Southern Division","Robbery, extortion and hijacking offences","Number","10"
"Recorded Crime Offences Under Reservation","2017","64302 Terenure, D.M.R. Southern Division","Burglary and related offences","Number","168"
"Recorded Crime Offences Under Reservation","2017","64302 Terenure, D.M.R. Southern Division","Theft and related offences","Number","441"
"Recorded Crime Offences Under Reservation","2017","64302 Terenure, D.M.R. Southern Division","Fraud, deception and related offences","Number","29"
"Recorded Crime Offences Under Reservation","2017","64302 Terenure, D.M.R. Southern Division","Controlled drug offences","Number","57"
"Recorded Crime Offences Under Reservation","2017","64302 Terenure, D.M.R. Southern Division","Weapons and Explosives Offences","Number","6"
"Recorded Crime Offences Under Reservation","2017","64302 Terenure, D.M.R. Southern Division","Damage to property and to the environment","Number","128"
"Recorded Crime Offences Under Reservation","2017","64302 Terenure, D.M.R. Southern Division","Public order and other social code offences","Number","81"
"Recorded Crime Offences Under Reservation","2017","64302 Terenure, D.M.R. Southern Division","Offences against government, justice procedures and organisation of crime","Number","9"
"Recorded Crime Offences Under Reservation","2018","63101 Balbriggan, D.M.R. Northern Division","Attempts/threats to murder, assaults, harassments and related offences","Number","166"
"Recorded Crime Offences Under Reservation","2018","63101 Balbriggan, D.M.R. Northern Division","Dangerous or negligent acts","Number","50"
"Recorded Crime Offences Under Reservation","2018","63101 Balbriggan, D.M.R. Northern Division","Kidnapping and related offences","Number","1"
"Recorded Crime Offences Under Reservation","2018","63101 Balbriggan, D.M.R. Northern Division","Robbery, extortion and hijacking offences","Number","21"
"Recorded Crime Offences Under Reservation","2018","63101 Balbriggan, D.M.R. Northern Division","Burglary and related offences","Number","111"
"Recorded Crime Offences Under Reservation","2018","63101 Balbriggan, D.M.R. Northern Division","Theft and related offences","Number","489"
"Recorded Crime Offences Under Reservation","2018","63101 Balbriggan, D.M.R. Northern Division","Fraud, deception and related offences","Number","109"
"Recorded Crime Offences Under Reservation","2018","63101 Balbriggan, D.M.R. Northern Division","Controlled drug offences","Number","87"
"Recorded Crime Offences Under Reservation","2018","63101 Balbriggan, D.M.R. Northern Division","Weapons and Explosives Offences","Number","29"
"Recorded Crime Offences Under Reservation","2018","63101 Balbriggan, D.M.R. Northern Division","Damage to property and to the environment","Number","242"
"Recorded Crime Offences Under Reservation","2018","63101 Balbriggan, D.M.R. Northern Division","Public order and other social code offences","Number","154"
"Recorded Crime Offences Under Reservation","2018","63101 Balbriggan, D.M.R. Northern Division","Offences against government, justice procedures and organisation of crime","Number","88"
"Recorded Crime Offences Under Reservation","2018","66201 Ballyfermot, D.M.R. Western Division","Attempts/threats to murder, assaults, harassments and related offences","Number","130"
"Recorded Crime Offences Under Reservation","2018","66201 Ballyfermot, D.M.R. Western Division","Dangerous or negligent acts","Number","49"
"Recorded Crime Offences Under Reservation","2018","66201 Ballyfermot, D.M.R. Western Division","Kidnapping and related offences","Number","2"
"Recorded Crime Offences Under Reservation","2018","66201 Ballyfermot, D.M.R. Western Division","Robbery, extortion and hijacking offences","Number","28"
"Recorded Crime Offences Under Reservation","2018","66201 Ballyfermot, D.M.R. Western Division","Burglary and related offences","Number","121"
"Recorded Crime Offences Under Reservation","2018","66201 Ballyfermot, D.M.R. Western Division","Theft and related offences","Number","389"
"Recorded Crime Offences Under Reservation","2018","66201 Ballyfermot, D.M.R. Western Division","Fraud, deception and related offences","Number","53"
"Recorded Crime Offences Under Reservation","2018","66201 Ballyfermot, D.M.R. Western Division","Controlled drug offences","Number","209"
"Recorded Crime Offences Under Reservation","2018","66201 Ballyfermot, D.M.R. Western Division","Weapons and Explosives Offences","Number","22"
"Recorded Crime Offences Under Reservation","2018","66201 Ballyfermot, D.M.R. Western Division","Damage to property and to the environment","Number","260"
"Recorded Crime Offences Under Reservation","2018","66201 Ballyfermot, D.M.R. Western Division","Public order and other social code offences","Number","169"
"Recorded Crime Offences Under Reservation","2018","66201 Ballyfermot, D.M.R. Western Division","Offences against government, justice procedures and organisation of crime","Number","30"
"Recorded Crime Offences Under Reservation","2018","63201 Ballymun, D.M.R. Northern Division","Attempts/threats to murder, assaults, harassments and related offences","Number","233"
"Recorded Crime Offences Under Reservation","2018","63201 Ballymun, D.M.R. Northern Division","Dangerous or negligent acts","Number","48"
"Recorded Crime Offences Under Reservation","2018","63201 Ballymun, D.M.R. Northern Division","Kidnapping and related offences","Number","3"
"Recorded Crime Offences Under Reservation","2018","63201 Ballymun, D.M.R. Northern Division","Robbery, extortion and hijacking offences","Number","69"
"Recorded Crime Offences Under Reservation","2018","63201 Ballymun, D.M.R. Northern Division","Burglary and related offences","Number","126"
"Recorded Crime Offences Under Reservation","2018","63201 Ballymun, D.M.R. Northern Division","Theft and related offences","Number","845"
"Recorded Crime Offences Under Reservation","2018","63201 Ballymun, D.M.R. Northern Division","Fraud, deception and related offences","Number","37"
"Recorded Crime Offences Under Reservation","2018","63201 Ballymun, D.M.R. Northern Division","Controlled drug offences","Number","284"
"Recorded Crime Offences Under Reservation","2018","63201 Ballymun, D.M.R. Northern Division","Weapons and Explosives Offences","Number","62"
"Recorded Crime Offences Under Reservation","2018","63201 Ballymun, D.M.R. Northern Division","Damage to property and to the environment","Number","266"
"Recorded Crime Offences Under Reservation","2018","63201 Ballymun, D.M.R. Northern Division","Public order and other social code offences","Number","152"
"Recorded Crime Offences Under Reservation","2018","63201 Ballymun, D.M.R. Northern Division","Offences against government, justice procedures and organisation of crime","Number","42"
"Recorded Crime Offences Under Reservation","2018","65101 Blackrock, Co Dublin, D.M.R. Eastern Division","Attempts/threats to murder, assaults, harassments and related offences","Number","66"
"Recorded Crime Offences Under Reservation","2018","65101 Blackrock, Co Dublin, D.M.R. Eastern Division","Dangerous or negligent acts","Number","36"
"Recorded Crime Offences Under Reservation","2018","65101 Blackrock, Co Dublin, D.M.R. Eastern Division","Kidnapping and related offences","Number","1"
"Recorded Crime Offences Under Reservation","2018","65101 Blackrock, Co Dublin, D.M.R. Eastern Division","Robbery, extortion and hijacking offences","Number","11"
"Recorded Crime Offences Under Reservation","2018","65101 Blackrock, Co Dublin, D.M.R. Eastern Division","Burglary and related offences","Number","167"
"Recorded Crime Offences Under Reservation","2018","65101 Blackrock, Co Dublin, D.M.R. Eastern Division","Theft and related offences","Number","434"
"Recorded Crime Offences Under Reservation","2018","65101 Blackrock, Co Dublin, D.M.R. Eastern Division","Fraud, deception and related offences","Number","49"
"Recorded Crime Offences Under Reservation","2018","65101 Blackrock, Co Dublin, D.M.R. Eastern Division","Controlled drug offences","Number","42"
"Recorded Crime Offences Under Reservation","2018","65101 Blackrock, Co Dublin, D.M.R. Eastern Division","Weapons and Explosives Offences","Number","4"
"Recorded Crime Offences Under Reservation","2018","65101 Blackrock, Co Dublin, D.M.R. Eastern Division","Damage to property and to the environment","Number","82"
"Recorded Crime Offences Under Reservation","2018","65101 Blackrock, Co Dublin, D.M.R. Eastern Division","Public order and other social code offences","Number","92"
"Recorded Crime Offences Under Reservation","2018","65101 Blackrock, Co Dublin, D.M.R. Eastern Division","Offences against government, justice procedures and organisation of crime","Number","18"
"Recorded Crime Offences Under Reservation","2018","66101 Blanchardstown, D.M.R. Western Division","Attempts/threats to murder, assaults, harassments and related offences","Number","426"
"Recorded Crime Offences Under Reservation","2018","66101 Blanchardstown, D.M.R. Western Division","Dangerous or negligent acts","Number","146"
"Recorded Crime Offences Under Reservation","2018","66101 Blanchardstown, D.M.R. Western Division","Kidnapping and related offences","Number","5"
"Recorded Crime Offences Under Reservation","2018","66101 Blanchardstown, D.M.R. Western Division","Robbery, extortion and hijacking offences","Number","112"
"Recorded Crime Offences Under Reservation","2018","66101 Blanchardstown, D.M.R. Western Division","Burglary and related offences","Number","452"
"Recorded Crime Offences Under Reservation","2018","66101 Blanchardstown, D.M.R. Western Division","Theft and related offences","Number","2059"
"Recorded Crime Offences Under Reservation","2018","66101 Blanchardstown, D.M.R. Western Division","Fraud, deception and related offences","Number","192"
"Recorded Crime Offences Under Reservation","2018","66101 Blanchardstown, D.M.R. Western Division","Controlled drug offences","Number","295"
"Recorded Crime Offences Under Reservation","2018","66101 Blanchardstown, D.M.R. Western Division","Weapons and Explosives Offences","Number","49"
"Recorded Crime Offences Under Reservation","2018","66101 Blanchardstown, D.M.R. Western Division","Damage to property and to the environment","Number","439"
"Recorded Crime Offences Under Reservation","2018","66101 Blanchardstown, D.M.R. Western Division","Public order and other social code offences","Number","360"
"Recorded Crime Offences Under Reservation","2018","66101 Blanchardstown, D.M.R. Western Division","Offences against government, justice procedures and organisation of crime","Number","1329"
"Recorded Crime Offences Under Reservation","2018","62101 Bridewell Dublin, D.M.R. North Central Division","Attempts/threats to murder, assaults, harassments and related offences","Number","183"
"Recorded Crime Offences Under Reservation","2018","62101 Bridewell Dublin, D.M.R. North Central Division","Dangerous or negligent acts","Number","62"
"Recorded Crime Offences Under Reservation","2018","62101 Bridewell Dublin, D.M.R. North Central Division","Kidnapping and related offences","Number","2"
"Recorded Crime Offences Under Reservation","2018","62101 Bridewell Dublin, D.M.R. North Central Division","Robbery, extortion and hijacking offences","Number","65"
"Recorded Crime Offences Under Reservation","2018","62101 Bridewell Dublin, D.M.R. North Central Division","Burglary and related offences","Number","179"
"Recorded Crime Offences Under Reservation","2018","62101 Bridewell Dublin, D.M.R. North Central Division","Theft and related offences","Number","849"
"Recorded Crime Offences Under Reservation","2018","62101 Bridewell Dublin, D.M.R. North Central Division","Fraud, deception and related offences","Number","60"
"Recorded Crime Offences Under Reservation","2018","62101 Bridewell Dublin, D.M.R. North Central Division","Controlled drug offences","Number","148"
"Recorded Crime Offences Under Reservation","2018","62101 Bridewell Dublin, D.M.R. North Central Division","Weapons and Explosives Offences","Number","40"
"Recorded Crime Offences Under Reservation","2018","62101 Bridewell Dublin, D.M.R. North Central Division","Damage to property and to the environment","Number","219"
"Recorded Crime Offences Under Reservation","2018","62101 Bridewell Dublin, D.M.R. North Central Division","Public order and other social code offences","Number","272"
"Recorded Crime Offences Under Reservation","2018","62101 Bridewell Dublin, D.M.R. North Central Division","Offences against government, justice procedures and organisation of crime","Number","5536"
"Recorded Crime Offences Under Reservation","2018","65201 Cabinteely, D.M.R. Eastern Division","Attempts/threats to murder, assaults, harassments and related offences","Number","64"
"Recorded Crime Offences Under Reservation","2018","65201 Cabinteely, D.M.R. Eastern Division","Dangerous or negligent acts","Number","25"
"Recorded Crime Offences Under Reservation","2018","65201 Cabinteely, D.M.R. Eastern Division","Kidnapping and related offences","Number","0"
"Recorded Crime Offences Under Reservation","2018","65201 Cabinteely, D.M.R. Eastern Division","Robbery, extortion and hijacking offences","Number","10"
"Recorded Crime Offences Under Reservation","2018","65201 Cabinteely, D.M.R. Eastern Division","Burglary and related offences","Number","181"
"Recorded Crime Offences Under Reservation","2018","65201 Cabinteely, D.M.R. Eastern Division","Theft and related offences","Number","370"
"Recorded Crime Offences Under Reservation","2018","65201 Cabinteely, D.M.R. Eastern Division","Fraud, deception and related offences","Number","25"
"Recorded Crime Offences Under Reservation","2018","65201 Cabinteely, D.M.R. Eastern Division","Controlled drug offences","Number","51"
"Recorded Crime Offences Under Reservation","2018","65201 Cabinteely, D.M.R. Eastern Division","Weapons and Explosives Offences","Number","13"
"Recorded Crime Offences Under Reservation","2018","65201 Cabinteely, D.M.R. Eastern Division","Damage to property and to the environment","Number","101"
"Recorded Crime Offences Under Reservation","2018","65201 Cabinteely, D.M.R. Eastern Division","Public order and other social code offences","Number","80"
"Recorded Crime Offences Under Reservation","2018","65201 Cabinteely, D.M.R. Eastern Division","Offences against government, justice procedures and organisation of crime","Number","8"
"Recorded Crime Offences Under Reservation","2018","66102 Cabra, D.M.R. Western Division","Attempts/threats to murder, assaults, harassments and related offences","Number","70"
"Recorded Crime Offences Under Reservation","2018","66102 Cabra, D.M.R. Western Division","Dangerous or negligent acts","Number","17"
"Recorded Crime Offences Under Reservation","2018","66102 Cabra, D.M.R. Western Division","Kidnapping and related offences","Number","1"
"Recorded Crime Offences Under Reservation","2018","66102 Cabra, D.M.R. Western Division","Robbery, extortion and hijacking offences","Number","22"
"Recorded Crime Offences Under Reservation","2018","66102 Cabra, D.M.R. Western Division","Burglary and related offences","Number","100"
"Recorded Crime Offences Under Reservation","2018","66102 Cabra, D.M.R. Western Division","Theft and related offences","Number","338"
"Recorded Crime Offences Under Reservation","2018","66102 Cabra, D.M.R. Western Division","Fraud, deception and related offences","Number","23"
"Recorded Crime Offences Under Reservation","2018","66102 Cabra, D.M.R. Western Division","Controlled drug offences","Number","95"
"Recorded Crime Offences Under Reservation","2018","66102 Cabra, D.M.R. Western Division","Weapons and Explosives Offences","Number","9"
"Recorded Crime Offences Under Reservation","2018","66102 Cabra, D.M.R. Western Division","Damage to property and to the environment","Number","96"
